job started
Epoch: 1 Learning rate: 1.000
0.137 perplexity: 391.793 speed: 995 wps
0.138 perplexity: 390.973 speed: 995 wps
0.139 perplexity: 390.111 speed: 995 wps
0.140 perplexity: 389.436 speed: 995 wps
0.141 perplexity: 388.778 speed: 995 wps
0.142 perplexity: 388.074 speed: 995 wps
0.143 perplexity: 387.230 speed: 995 wps
0.144 perplexity: 386.458 speed: 996 wps
0.145 perplexity: 385.785 speed: 996 wps
0.146 perplexity: 385.071 speed: 996 wps
0.147 perplexity: 384.380 speed: 996 wps
0.148 perplexity: 383.636 speed: 995 wps
0.149 perplexity: 382.990 speed: 995 wps
0.150 perplexity: 382.267 speed: 996 wps
0.151 perplexity: 381.617 speed: 996 wps
0.152 perplexity: 380.914 speed: 995 wps
0.153 perplexity: 380.182 speed: 996 wps
0.154 perplexity: 379.591 speed: 996 wps
0.155 perplexity: 378.991 speed: 996 wps
0.156 perplexity: 378.395 speed: 996 wps
0.157 perplexity: 377.822 speed: 997 wps
0.158 perplexity: 377.149 speed: 996 wps
0.159 perplexity: 376.467 speed: 996 wps
0.160 perplexity: 375.764 speed: 996 wps
0.161 perplexity: 375.101 speed: 996 wps
0.162 perplexity: 374.485 speed: 996 wps
0.163 perplexity: 373.825 speed: 996 wps
0.164 perplexity: 373.154 speed: 996 wps
0.165 perplexity: 372.517 speed: 997 wps
0.166 perplexity: 371.885 speed: 997 wps
0.167 perplexity: 371.322 speed: 997 wps
0.168 perplexity: 370.887 speed: 997 wps
0.168 perplexity: 370.271 speed: 997 wps
0.169 perplexity: 369.692 speed: 997 wps
0.170 perplexity: 369.122 speed: 997 wps
0.171 perplexity: 368.540 speed: 997 wps
0.172 perplexity: 367.987 speed: 997 wps
0.173 perplexity: 367.469 speed: 997 wps
0.174 perplexity: 366.834 speed: 997 wps
0.175 perplexity: 366.284 speed: 997 wps
0.176 perplexity: 365.618 speed: 997 wps
0.177 perplexity: 365.156 speed: 997 wps
0.178 perplexity: 364.653 speed: 997 wps
0.179 perplexity: 364.131 speed: 998 wps
0.180 perplexity: 363.645 speed: 998 wps
0.181 perplexity: 363.175 speed: 998 wps
0.182 perplexity: 362.679 speed: 998 wps
0.183 perplexity: 362.210 speed: 998 wps
0.184 perplexity: 361.723 speed: 998 wps
0.185 perplexity: 361.315 speed: 998 wps
0.186 perplexity: 360.860 speed: 999 wps
0.187 perplexity: 360.361 speed: 999 wps
0.188 perplexity: 359.879 speed: 999 wps
0.189 perplexity: 359.408 speed: 999 wps
0.190 perplexity: 358.863 speed: 999 wps
0.191 perplexity: 358.443 speed: 999 wps
0.192 perplexity: 357.971 speed: 999 wps
0.193 perplexity: 357.483 speed: 999 wps
0.194 perplexity: 357.044 speed: 999 wps
0.195 perplexity: 356.617 speed: 999 wps
0.196 perplexity: 356.185 speed: 1000 wps
0.197 perplexity: 355.761 speed: 1000 wps
0.198 perplexity: 355.306 speed: 1000 wps
0.199 perplexity: 354.823 speed: 1000 wps
0.200 perplexity: 354.390 speed: 1000 wps
0.201 perplexity: 353.940 speed: 1001 wps
0.202 perplexity: 353.506 speed: 1000 wps
0.203 perplexity: 353.055 speed: 1001 wps
0.204 perplexity: 352.608 speed: 1001 wps
0.205 perplexity: 352.181 speed: 1001 wps
0.206 perplexity: 351.750 speed: 1001 wps
0.207 perplexity: 351.333 speed: 1001 wps
0.208 perplexity: 350.853 speed: 1001 wps
0.209 perplexity: 350.411 speed: 1001 wps
0.210 perplexity: 349.947 speed: 1001 wps
0.211 perplexity: 349.579 speed: 1001 wps
0.212 perplexity: 349.117 speed: 1001 wps
0.213 perplexity: 348.737 speed: 1001 wps
0.214 perplexity: 348.283 speed: 1002 wps
0.215 perplexity: 347.872 speed: 1002 wps
0.216 perplexity: 347.461 speed: 1002 wps
0.217 perplexity: 347.064 speed: 1002 wps
0.218 perplexity: 346.644 speed: 1002 wps
0.219 perplexity: 346.186 speed: 1002 wps
0.220 perplexity: 345.751 speed: 1002 wps
0.221 perplexity: 345.366 speed: 1002 wps
0.222 perplexity: 344.993 speed: 1002 wps
0.223 perplexity: 344.566 speed: 1002 wps
0.224 perplexity: 344.146 speed: 1002 wps
0.225 perplexity: 343.814 speed: 1002 wps
0.226 perplexity: 343.379 speed: 1002 wps
0.227 perplexity: 342.942 speed: 1002 wps
0.228 perplexity: 342.535 speed: 1002 wps
0.229 perplexity: 342.161 speed: 1002 wps
0.230 perplexity: 341.838 speed: 1002 wps
0.231 perplexity: 341.446 speed: 1002 wps
0.232 perplexity: 341.013 speed: 1002 wps
0.233 perplexity: 340.661 speed: 1003 wps
0.234 perplexity: 340.306 speed: 1003 wps
0.235 perplexity: 339.959 speed: 1003 wps
0.236 perplexity: 339.561 speed: 1003 wps
0.237 perplexity: 339.173 speed: 1003 wps
0.238 perplexity: 338.866 speed: 1003 wps
0.239 perplexity: 338.473 speed: 1003 wps
0.240 perplexity: 338.101 speed: 1003 wps
0.241 perplexity: 337.740 speed: 1003 wps
0.242 perplexity: 337.340 speed: 1002 wps
0.243 perplexity: 337.028 speed: 1003 wps
0.244 perplexity: 336.659 speed: 1003 wps
0.245 perplexity: 336.285 speed: 1003 wps
0.246 perplexity: 335.868 speed: 1003 wps
0.247 perplexity: 335.530 speed: 1003 wps
0.248 perplexity: 335.173 speed: 1003 wps
0.249 perplexity: 334.788 speed: 1003 wps
0.250 perplexity: 334.438 speed: 1003 wps
0.251 perplexity: 334.121 speed: 1003 wps
0.252 perplexity: 333.781 speed: 1003 wps
0.253 perplexity: 333.443 speed: 1003 wps
0.254 perplexity: 333.135 speed: 1003 wps
0.255 perplexity: 332.808 speed: 1004 wps
0.256 perplexity: 332.503 speed: 1003 wps
0.257 perplexity: 332.190 speed: 1004 wps
0.258 perplexity: 331.841 speed: 1004 wps
0.259 perplexity: 331.523 speed: 1003 wps
0.260 perplexity: 331.194 speed: 1003 wps
