input           | target          | cbow_exp_soft0  <-> cbow_exp_lstm0  || best model: 0:first, 1:second
voor            | te              | 4.08733034134   <-> 3.70102000237   || 1
te              | komen           | 4.3773856163    <-> 4.08729553223   || 1
komen           | in              | 3.27835416794   <-> 3.55085706711   || 0
in              | het             | 1.88575577736   <-> 1.80168294907   || 1
het             | professionele   | 8.94322681427   <-> 9.05060195923   || 0
professionele   | golf            | 10.9414014816   <-> 12.0334243774   || 0
golf            | maar            | 4.7045249939    <-> 4.74447441101   || 0
maar            | niemand         | 6.83218383789   <-> 7.31626033783   || 0
niemand         | weet            | 3.80010342598   <-> 4.16771507263   || 0
weet            | waar            | 6.43595981598   <-> 6.7398891449    || 0
waar            | </s>            | 4.50300550461   <-> 4.93320465088   || 0
<s>             | bij             | 5.05193138123   <-> 5.07192564011   || 0
bij             | analogie        | 12.1095380783   <-> 11.2801008224   || 1
analogie        | moet            | 5.70947790146   <-> 5.78037929535   || 0
moet            | vijf            | 10.1816530228   <-> 9.07496738434   || 1
vijf            | boven           | 10.3468379974   <-> 10.1795139313   || 1
boven           | par             | 13.6832094193   <-> 13.7900943756   || 0
par             | dan             | 7.11734390259   <-> 6.33955764771   || 1
dan             | een             | 2.61898231506   <-> 2.20317292213   || 1
een             | <UNK>           | 2.14787817001   <-> 2.05298018456   || 1
<UNK>           | <UNK>           | 2.62822699547   <-> 2.51827740669   || 1
<UNK>           | zijn            | 3.20802688599   <-> 3.6776201725    || 0
zijn            | </s>            | 0.572817027569  <-> 1.16056096554   || 0
<s>             | nooit           | 7.7143497467    <-> 7.95982265472   || 0
nooit           | tegengekomen    | 12.6695661545   <-> 12.4243011475   || 1
tegengekomen    | in              | 4.02478504181   <-> 3.39832687378   || 1
in              | de              | 1.34048366547   <-> 1.24369323254   || 1
de              | vakliteratuur   | 11.1622066498   <-> 11.1497983932   || 1
vakliteratuur   | </s>            | 1.36007392406   <-> 1.57805359364   || 0
<s>             | zes             | 7.91110515594   <-> 7.97511100769   || 0
zes             | zou             | 8.5026473999    <-> 8.26251506805   || 1
zou             | <UNK>           | 4.3812994957    <-> 3.62439537048   || 1
<UNK>           | kunnen          | 3.64792728424   <-> 4.86626529694   || 0
kunnen          | zijn            | 2.51085972786   <-> 3.38756251335   || 0
zijn            | al              | 6.36899089813   <-> 5.55959939957   || 1
al              | doet            | 7.94738864899   <-> 7.82629966736   || 1
doet            | dat             | 4.24287319183   <-> 3.73566293716   || 1
dat             | meer            | 6.19390201569   <-> 5.65778493881   || 1
meer            | denken          | 7.90121555328   <-> 8.27724075317   || 0
denken          | aan             | 3.50246286392   <-> 3.37811994553   || 1
aan             | een             | 2.40578174591   <-> 2.35042715073   || 1
een             | goedkope        | 8.58453559875   <-> 8.8707780838    || 0
goedkope        | gore            | 11.5968055725   <-> 11.1920890808   || 1
gore            | tent            | 9.35213184357   <-> 8.50497817993   || 1
tent            | in              | 2.85871434212   <-> 2.88834762573   || 0
