input           | target          | cbow_exp_soft0  <-> cbow_exp_lstm0  || best model: 0:first, 1:second
stadium         | was             | 3.07415127754   <-> 3.27716827393   || 0
was             | <UNK>           | 3.91437482834   <-> 3.97269392014   || 0
<UNK>           | dus             | 6.39814090729   <-> 6.52115631104   || 0
dus             | niet            | 2.70412516594   <-> 2.66080522537   || 1
niet            | </s>            | 3.2364885807    <-> 3.05411434174   || 1
<s>             | een             | 3.63592123985   <-> 3.64279747009   || 0
een             | lucide          | 10.8640918732   <-> 11.0528888702   || 0
lucide          | Britse          | 8.89125442505   <-> 8.01057529449   || 1
Britse          | verslaggever    | 9.06336212158   <-> 9.19190979004   || 0
verslaggever    | beweerde        | 7.95699644089   <-> 8.74755859375   || 0
beweerde        | dat             | 1.04697751999   <-> 1.08213591576   || 0
dat             | de              | 1.48976767063   <-> 1.49065959454   || 0
de              | Spanjaard       | 9.74682998657   <-> 9.23513889313   || 1
Spanjaard       | het             | 3.6424946785    <-> 3.41795945168   || 1
het             | slachtoffer     | 4.79441452026   <-> 4.89511299133   || 0
slachtoffer     | was             | 2.51505732536   <-> 2.81926059723   || 0
was             | geworden        | 5.86749362946   <-> 5.65849494934   || 1
geworden        | van             | 2.47637629509   <-> 2.47145438194   || 1
van             | zijn            | 3.42855882645   <-> 3.20926189423   || 1
zijn            | eigen           | 4.39496231079   <-> 3.98688483238   || 1
eigen           | rijkdom         | 8.79016399384   <-> 8.83605194092   || 0
rijkdom         | </s>            | 0.939647197723  <-> 0.955694437027  || 0
<s>             | want            | 6.20040273666   <-> 6.37856626511   || 0
want            | had             | 6.97663021088   <-> 7.7280626297    || 0
had             | hij             | 1.74348497391   <-> 1.76142406464   || 0
hij             | zoals           | 8.43591690063   <-> 7.77695989609   || 1
zoals           | ik              | 4.56995296478   <-> 4.99704027176   || 0
ik              | in              | 3.49151682854   <-> 3.4881234169    || 1
in              | een             | 2.62752628326   <-> 2.68027377129   || 0
een             | van             | 4.8485660553    <-> 4.78467226028   || 1
van             | de              | 1.01552867889   <-> 0.872515320778  || 1
de              | goedkope        | 10.7171173096   <-> 10.8261585236   || 0
goedkope        | <UNK>           | 2.05741429329   <-> 1.81768906116   || 1
<UNK>           | rond            | 7.1603012085    <-> 7.39031171799   || 0
rond            | </s>            | 5.04038000107   <-> 5.201359272     || 0
<s>             | <UNK>           | 3.06714558601   <-> 3.29413557053   || 0
<UNK>           | moeten          | 7.20655965805   <-> 7.20520019531   || 1
moeten          | logeren         | 10.4027910233   <-> 10.3514213562   || 1
logeren         | dan             | 4.64544391632   <-> 4.82187795639   || 0
dan             | had             | 6.24751806259   <-> 6.22652006149   || 1
had             | de              | 1.81192231178   <-> 2.02647399902   || 0
de              | muur            | 8.34364891052   <-> 7.91778564453   || 1
muur            | omver           | 12.1018161774   <-> 11.95337677     || 1
omver           | gelegen         | 6.82361745834   <-> 7.84645795822   || 0
gelegen         | en              | 2.67464637756   <-> 2.49617671967   || 1
en              | had             | 5.56077003479   <-> 5.64456319809   || 0
had             | zijn            | 4.84968185425   <-> 4.68596696854   || 1
zijn            | hand            | 6.76671409607   <-> 6.76776599884   || 0
hand            | hooguit         | 11.2059268951   <-> 11.4168224335   || 0
hooguit         | een             | 1.78347563744   <-> 1.94370961189   || 0
een             | <UNK>           | 2.45103549957   <-> 2.49918007851   || 0
<UNK>           | vertoond        | 8.62077522278   <-> 9.70680427551   || 0
vertoond        | </s>            | 0.603489875793  <-> 0.668597042561  || 0
<s>             | Spaanse         | 11.053771019    <-> 10.4930667877   || 1
Spaanse         | reporters       | 9.15063381195   <-> 9.07207393646   || 1
reporters       | schreven        | 7.43429470062   <-> 7.10533189774   || 1
schreven        | opgelucht       | 9.02141571045   <-> 9.14654445648   || 0
opgelucht       | dat             | 1.96347618103   <-> 2.41028356552   || 0
dat             | <UNK>           | 3.49472093582   <-> 3.67984652519   || 0
<UNK>           | nu              | 5.72402095795   <-> 5.99918699265   || 0
nu              | eindelijk       | 7.0601644516    <-> 7.1556224823    || 0
eindelijk       | eens            | 4.83297538757   <-> 5.09222412109   || 0
eens            | over            | 4.98105049133   <-> 5.1265745163    || 0
over            | een             | 2.16890764236   <-> 2.4167881012    || 0
een             | ander           | 4.69073104858   <-> 5.41463041306   || 0
ander           | <UNK>           | 2.71032881737   <-> 2.56104111671   || 1
<UNK>           | kon             | 5.13812446594   <-> 5.23534250259   || 0
kon             | klagen          | 8.88817405701   <-> 9.31788730621   || 0
klagen          | dan             | 5.09922266006   <-> 5.42760753632   || 0
dan             | over            | 5.62603569031   <-> 5.08686256409   || 1
over            | zijn            | 3.80516052246   <-> 3.37658834457   || 1
zijn            | voet            | 9.2259721756    <-> 8.31133270264   || 1
voet            | waarmee         | 7.54173564911   <-> 8.14491844177   || 0
waarmee         | hij             | 1.88108706474   <-> 1.79871952534   || 1
hij             | jaren           | 8.8487701416    <-> 9.3768196106    || 0
jaren           | op              | 3.29611611366   <-> 3.19314599037   || 1
op              | de              | 1.2289866209    <-> 1.27884936333   || 0
de              | sukkel          | 6.87434196472   <-> 7.12173175812   || 0
sukkel          | was             | 2.47499871254   <-> 2.68072319031   || 0
was             | </s>            | 0.621008992195  <-> 0.746179163456  || 0
<s>             | <UNK>           | 3.28763318062   <-> 3.22296619415   || 1
<UNK>           | heeft           | 4.35284423828   <-> 3.89250302315   || 1
heeft           | trouwens        | 6.56172323227   <-> 6.96239805222   || 0
trouwens        | minder          | 6.97740793228   <-> 6.90473604202   || 1
minder          | redenen         | 7.35897254944   <-> 8.08456993103   || 0
redenen         | tot             | 5.62217235565   <-> 5.31935787201   || 1
tot             | klagen          | 10.7996473312   <-> 11.7782783508   || 0
klagen          | dan             | 4.39356231689   <-> 5.02129793167   || 0
dan             | de              | 2.27417016029   <-> 2.09955143929   || 1
de              | meesten         | 7.77517080307   <-> 8.51797485352   || 0
meesten         | van             | 2.33208751678   <-> 1.91952681541   || 1
van             | ons             | 5.24066543579   <-> 5.53883075714   || 0
ons             | want            | 6.81289052963   <-> 7.87203598022   || 0
want            | hij             | 4.88203334808   <-> 3.72250747681   || 1
hij             | won             | 7.25739336014   <-> 6.73525094986   || 1
won             | in              | 3.05553627014   <-> 2.82129573822   || 1
in              | de              | 1.223295331     <-> 1.29350531101   || 0
de              | lente           | 6.11823320389   <-> 6.33117008209   || 0
lente           | van             | 1.1262178421    <-> 1.31728863716   || 0
van             | dit             | 4.28111982346   <-> 4.51445627213   || 0
dit             | jaar            | 0.349142163992  <-> 0.493639886379  || 0
jaar            | de              | 3.17058539391   <-> 3.3848285675    || 0
de              | Masters         | 9.01593589783   <-> 8.87597560883   || 1
Masters         | op              | 4.36237049103   <-> 4.26606607437   || 1
op              | <UNK>           | 3.90209031105   <-> 3.24921584129   || 1
<UNK>           | </s>            | 1.08485352993   <-> 0.946289360523  || 1
<s>             | wat             | 5.33219337463   <-> 5.4814248085    || 0
wat             | John            | 9.54000377655   <-> 9.24583816528   || 1
John            | </s>            | 4.89220905304   <-> 5.68029785156   || 0
<s>             | <UNK>           | 3.05653047562   <-> 2.7967247963    || 1
<UNK>           | op              | 4.97872591019   <-> 4.76066160202   || 1
op              | dat             | 5.18635368347   <-> 5.01591300964   || 1
dat             | moment          | 0.755271315575  <-> 1.89931356907   || 0
moment          | onbewust        | 11.3884267807   <-> 11.5573863983   || 0
onbewust        | van             | 3.81483793259   <-> 4.06659412384   || 0
van             | het             | 2.3680832386    <-> 2.24176120758   || 1
het             | bestaan         | 6.6642742157    <-> 7.55445957184   || 0
bestaan         | van             | 0.726787865162  <-> 1.05594027042   || 0
van             | het             | 2.11050701141   <-> 2.14472842216   || 0
het             | woord           | 5.24232959747   <-> 5.88246440887   || 0
woord           | <UNK>           | 2.45207309723   <-> 2.42942285538   || 1
<UNK>           | deed            | 8.11205482483   <-> 6.61646699905   || 1
deed            | opmerken        | 11.7722826004   <-> 11.7538824081   || 1
opmerken        | </s>            | 1.07928395271   <-> 2.00091195107   || 0
<s>             | mocht           | 8.50827693939   <-> 8.665184021     || 0
mocht           | ik              | 2.40200543404   <-> 2.55362200737   || 0
ik              | de              | 2.86671972275   <-> 2.79161739349   || 1
de              | Masters         | 9.42369556427   <-> 10.1316423416   || 0
Masters         | gewonnen        | 7.97824954987   <-> 7.62742424011   || 1
gewonnen        | hebben          | 1.90773248672   <-> 2.23331737518   || 0
hebben          | ik              | 7.14451026917   <-> 7.08029747009   || 1
ik              | sloeg           | 7.19568920135   <-> 7.88088798523   || 0
sloeg           | de              | 2.86646485329   <-> 2.80782389641   || 1
de              | rest            | 5.95478248596   <-> 5.85931110382   || 1
rest            | van             | 0.901293098927  <-> 0.741998255253  || 1
van             | het             | 1.84595477581   <-> 1.85506916046   || 0
het             | jaar            | 3.77988791466   <-> 3.96690011024   || 0
jaar            | op              | 3.25295352936   <-> 2.92333459854   || 1
op              | geen            | 7.28559827805   <-> 7.02493095398   || 1
geen            | enkele          | 3.94162082672   <-> 3.5711555481    || 1
enkele          | muur            | 9.32660102844   <-> 8.22389125824   || 1
muur            | </s>            | 0.59243619442   <-> 0.817030668259  || 0
<s>             | het             | 2.69658827782   <-> 2.94359493256   || 0
het             | slaan           | 11.647403717    <-> 10.9201450348   || 1
slaan           | op              | 3.27396821976   <-> 3.38797259331   || 0
op              | muren           | 9.41763114929   <-> 10.499294281    || 0
muren           | zou             | 8.65251922607   <-> 8.89550876617   || 0
zou             | moeten          | 6.14682102203   <-> 5.95561218262   || 1
moeten          | worden          | 3.06745672226   <-> 3.12859916687   || 0
worden          | voorbehouden    | 9.28333282471   <-> 9.24402999878   || 1
voorbehouden    | aan             | 3.2321805954    <-> 3.44492936134   || 0
aan             | mensen          | 6.26752948761   <-> 6.50761699677   || 0
mensen          | die             | 1.76199507713   <-> 1.81557619572   || 0
die             | de              | 2.62051439285   <-> 2.5957608223    || 1
de              | Masters         | 11.6786909103   <-> 11.1158657074   || 1
Masters         | nog             | 5.10178422928   <-> 4.88739728928   || 1
nog             | niet            | 2.51220846176   <-> 2.38635778427   || 1
niet            | gewonnen        | 7.79762887955   <-> 6.94218444824   || 1
gewonnen        | hebben          | 1.47987031937   <-> 1.56595575809   || 0
hebben          | </s>            | 0.274076104164  <-> 0.466083467007  || 0
<s>             | <UNK>           | 3.25519418716   <-> 3.11613893509   || 1
<UNK>           | wist            | 7.07496929169   <-> 7.55929470062   || 0
wist            | waarover        | 9.07633399963   <-> 9.03628063202   || 1
waarover        | hij             | 2.47965526581   <-> 2.15424895287   || 1
hij             | sprak           | 8.4297542572    <-> 9.57046031952   || 0
sprak           | want            | 6.1016330719    <-> 6.41465520859   || 0
want            | hij             | 2.26921796799   <-> 3.15536975861   || 0
hij             | vernielde       | 13.21733284     <-> 12.6756029129   || 1
vernielde       | in              | 3.52059030533   <-> 3.48279809952   || 1
in              | buien           | 17.2214298248   <-> 14.3765096664   || 1
buien           | van             | 3.36280345917   <-> 3.98145365715   || 0
van             | dronken         | 10.9569358826   <-> 9.61449050903   || 1
dronken         | woede           | 8.21709632874   <-> 8.97880935669   || 0
woede           | al              | 6.37179613113   <-> 6.34924268723   || 1
al              | twee            | 5.50964832306   <-> 5.54677343369   || 0
twee            | keer            | 2.87556433678   <-> 2.90978240967   || 0
keer            | zijn            | 5.21939611435   <-> 5.49196052551   || 0
zijn            | eigen           | 5.17970466614   <-> 4.90268945694   || 1
eigen           | huis            | 5.28115844727   <-> 4.8181643486    || 1
huis            | een             | 5.05107307434   <-> 3.55813360214   || 1
een             | keer            | 5.16681194305   <-> 6.15992259979   || 0
keer            | dat             | 4.25237083435   <-> 3.96685147285   || 1
dat             | van             | 5.91838645935   <-> 5.39945697784   || 1
van             | een             | 2.48678064346   <-> 2.43571281433   || 1
een             | buur            | 9.67966651917   <-> 9.42934513092   || 1
buur            | en              | 3.64050197601   <-> 3.46335744858   || 1
en              | tussendoor      | 10.8520584106   <-> 9.44669437408   || 1
tussendoor      | ook             | 3.95105028152   <-> 3.94979333878   || 1
ook             | een             | 2.19092440605   <-> 2.14557027817   || 1
een             | auto            | 6.4210319519    <-> 5.33348083496   || 1
auto            | of              | 5.49671268463   <-> 4.99637365341   || 1
of              | vijf            | 6.19161987305   <-> 6.6312713623    || 0
vijf            | </s>            | 3.92433619499   <-> 3.74047470093   || 1
<s>             | de              | 2.1093275547    <-> 2.0514113903    || 1
de              | Masters         | 10.4684238434   <-> 10.8635816574   || 0
Masters         | van             | 2.86733436584   <-> 2.44786906242   || 1
van             | dit             | 6.12664890289   <-> 5.72231483459   || 1
dit             | jaar            | 1.45790624619   <-> 1.35375547409   || 1
jaar            | betekenden      | 10.9146108627   <-> 11.2599210739   || 0
betekenden      | voor            | 4.96749973297   <-> 4.56326627731   || 1
voor            | <UNK>           | 3.16861772537   <-> 2.98716855049   || 1
<UNK>           | de              | 2.86713862419   <-> 2.95222687721   || 0
de              | definitieve     | 7.93418264389   <-> 8.68899059296   || 0
definitieve     | terugkeer       | 8.25105190277   <-> 7.67633914948   || 1
terugkeer       | aan             | 4.12060546875   <-> 4.12164068222   || 0
aan             | de              | 1.00157046318   <-> 0.987519443035  || 1
de              | top             | 5.80274629593   <-> 6.30476045609   || 0
top             | </s>            | 1.40248918533   <-> 1.74490189552   || 0
<s>             | de              | 1.65936458111   <-> 1.79707622528   || 0
de              | Spanjaard       | 7.7840681076    <-> 6.72326469421   || 1
Spanjaard       | ook             | 8.39559364319   <-> 7.68780088425   || 1
ook             | al              | 4.78551292419   <-> 4.26560497284   || 1
al              | winnaar         | 9.119556427     <-> 9.49308395386   || 0
winnaar         | van             | 0.932917416096  <-> 1.11888456345   || 0
van             | het             | 2.20813083649   <-> 2.12419176102   || 1
het             | befaamde        | 8.20872879028   <-> 7.87283229828   || 1
befaamde        | groene          | 8.91339588165   <-> 9.82935523987   || 0
groene          | jasje           | 9.009308815     <-> 8.18642711639   || 1
jasje           | in              | 3.12517738342   <-> 2.81666445732   || 1
in              | negentien       | 4.00394010544   <-> 4.27429199219   || 0
negentien       | honderd         | 0.00359187391587 <-> 0.0182601138949 || 0
honderd         | vier-en         | 2.44821190834   <-> 2.23778367043   || 1
vier-en         | negentig        | 0.612212181091  <-> 0.774146258831  || 0
negentig        | komma           | 2.09753990173   <-> 3.04488992691   || 0
komma           | heeft           | 4.7346906662    <-> 5.33242082596   || 0
heeft           | jaren           | 9.40169143677   <-> 9.37712669373   || 1
jaren           | van             | 5.09471130371   <-> 4.93932247162   || 1
van             | <UNK>           | 3.10318899155   <-> 2.5131957531    || 1
<UNK>           | achter          | 7.82029104233   <-> 8.04008388519   || 0
achter          | de              | 0.965517520905  <-> 0.93681204319   || 1
de              | rug             | 1.7686419487    <-> 3.39551544189   || 0
rug             | </s>            | 1.16236305237   <-> 1.59050774574   || 0
<s>             | oorzaak         | 11.3089179993   <-> 11.3267183304   || 0
oorzaak         | van             | 0.936734974384  <-> 0.696823477745  || 1
van             | dat             | 4.97607755661   <-> 5.15501976013   || 0
dat             | alles           | 5.82942199707   <-> 5.95849227905   || 0
alles           | </s>            | 2.00297808647   <-> 2.75243926048   || 0
<s>             | zijn            | 4.89683675766   <-> 5.11037254333   || 0
zijn            | tenen           | 10.6894855499   <-> 9.68573188782   || 1
tenen           | </s>            | 3.09557414055   <-> 3.11855340004   || 0
<s>             | men             | 7.07230854034   <-> 6.9875831604    || 1
men             | kan             | 3.66796135902   <-> 3.69646549225   || 0
kan             | het             | 3.08314752579   <-> 3.31403493881   || 0
het             | vanuit          | 8.49558448792   <-> 8.50866794586   || 0
vanuit          | twee            | 4.50146007538   <-> 5.15960884094   || 0
twee            | <UNK>           | 4.46273803711   <-> 3.89555621147   || 1
<UNK>           | bekijken        | 6.29012346268   <-> 6.73439598083   || 0
bekijken        | </s>            | 0.603976845741  <-> 0.766187310219  || 0
<s>             | een             | 3.44729232788   <-> 3.50250601768   || 0
een             | van             | 4.20516395569   <-> 4.33685064316   || 0
van             | de              | 0.76149559021   <-> 0.780300080776  || 0
de              | tenen           | 11.2985706329   <-> 9.97206401825   || 1
tenen           | van             | 1.52477288246   <-> 1.14963519573   || 1
van             | zijn            | 4.1578001976    <-> 3.88542342186   || 1
zijn            | rechtervoet     | 9.82304573059   <-> 10.4899349213   || 0
rechtervoet     | was             | 3.83522701263   <-> 3.98627734184   || 0
was             | te              | 5.31916332245   <-> 5.05248737335   || 1
te              | lang            | 4.39631938934   <-> 4.86099386215   || 0
lang            | of              | 5.94624996185   <-> 5.68635034561   || 1
of              | vier            | 8.12780189514   <-> 7.6887845993    || 1
vier            | van             | 4.38607025146   <-> 3.89440393448   || 1
van             | de              | 1.01976156235   <-> 1.34788274765   || 0
de              | tenen           | 10.335111618    <-> 10.2230081558   || 1
tenen           | van             | 1.99133348465   <-> 1.34619343281   || 1
van             | zijn            | 3.79774522781   <-> 4.03542900085   || 0
zijn            | rechtervoet     | 9.79461765289   <-> 10.1899080276   || 0
rechtervoet     | waren           | 6.77515029907   <-> 7.82479858398   || 0
waren           | te              | 5.05578660965   <-> 4.87888813019   || 1
te              | kort            | 5.23940420151   <-> 4.99919319153   || 1
kort            | </s>            | 1.03148031235   <-> 1.09846162796   || 0
<s>             | dit             | 5.51773643494   <-> 5.49665546417   || 1
dit             | lijkt           | 5.23680734634   <-> 5.14909410477   || 1
lijkt           | hetzelfde       | 8.04837417603   <-> 8.04403686523   || 1
hetzelfde       | maar            | 3.91978812218   <-> 3.77655673027   || 1
maar            | is              | 5.11698913574   <-> 4.20112228394   || 1
is              | het             | 2.83770251274   <-> 2.79689073563   || 1
het             | niet            | 2.48693466187   <-> 3.18679857254   || 0
niet            | </s>            | 2.49009299278   <-> 2.28209161758   || 1
<s>             | in              | 3.67082834244   <-> 3.40477061272   || 1
in              | de              | 1.24718356133   <-> 1.17479252815   || 1
de              | eerste          | 2.82194781303   <-> 2.55590844154   || 1
eerste          | optiek          | 8.84018516541   <-> 11.1026115417   || 0
optiek          | opereert        | 11.9437265396   <-> 11.9486370087   || 0
opereert        | men             | 4.80758047104   <-> 4.74550199509   || 1
men             | één           | 6.41855812073   <-> 6.21381378174   || 1
één           | teen            | 11.8335762024   <-> 11.4970874786   || 1
teen            | door            | 4.39889287949   <-> 4.78207588196   || 0
door            | er              | 7.14286470413   <-> 6.93258619308   || 1
er              | een             | 3.37160944939   <-> 2.61286735535   || 1
een             | stuk            | 5.87614822388   <-> 5.45690345764   || 1
stuk            | af              | 5.64321994781   <-> 5.1942615509    || 1
af              | te              | 1.75345087051   <-> 2.50182962418   || 0
te              | zagen           | 9.1942615509    <-> 9.13954734802   || 1
zagen           | </s>            | 0.624119281769  <-> 0.779510736465  || 0
<s>             | in              | 3.41612243652   <-> 3.21616172791   || 1
in              | de              | 1.1901794672    <-> 1.22641015053   || 0
de              | tweede          | 3.83428192139   <-> 3.93778538704   || 0
tweede          | optiek          | 9.63592243195   <-> 11.5567712784   || 0
optiek          | opereert        | 11.9925165176   <-> 12.1782331467   || 0
opereert        | men             | 5.08906078339   <-> 4.90019464493   || 1
men             | vier            | 6.49887752533   <-> 6.90062904358   || 0
vier            | tenen           | 11.3057088852   <-> 11.3530483246   || 0
tenen           | door            | 4.84553813934   <-> 5.17881965637   || 0
door            | er              | 7.3530421257    <-> 6.7453379631    || 1
er              | een             | 3.43440508842   <-> 2.52959656715   || 1
een             | stuk            | 5.84370851517   <-> 5.4863524437    || 1
stuk            | bij             | 4.72919940948   <-> 4.4977145195    || 1
bij             | te              | 3.38738059998   <-> 3.83854866028   || 0
te              | kleven          | 7.80141162872   <-> 8.77694606781   || 0
kleven          | </s>            | 0.511520624161  <-> 0.62653273344   || 0
<s>             | als             | 4.4359536171    <-> 4.26411724091   || 1
als             | het             | 2.48906517029   <-> 2.69452571869   || 0
het             | kan             | 6.37727069855   <-> 6.34857654572   || 1
kan             | voor            | 4.73868465424   <-> 5.26999568939   || 0
voor            | het             | 2.08474230766   <-> 2.16328072548   || 0
het             | ding            | 9.5288476944    <-> 8.81911277771   || 1
ding            | dan             | 5.17510795593   <-> 5.00055599213   || 1
dan             | ook             | 3.11024737358   <-> 3.36222338676   || 0
ook             | voor            | 4.32654571533   <-> 4.31886196136   || 1
voor            | tenen           | 14.3091640472   <-> 12.7468729019   || 1
tenen           | </s>            | 1.86919558048   <-> 1.66659355164   || 1
<s>             | <UNK>           | 3.06008267403   <-> 3.0536403656    || 1
<UNK>           | koos            | 7.3764462471    <-> 8.10475730896   || 0
koos            | voor            | 2.28147315979   <-> 2.40086007118   || 0
voor            | de              | 1.56038665771   <-> 1.44717383385   || 1
de              | eerste          | 3.50366044044   <-> 4.0043721199    || 0
eerste          | methode         | 8.55315971375   <-> 8.83608150482   || 0
methode         | en              | 3.88210010529   <-> 3.37630963326   || 1
en              | dacht           | 8.1329870224    <-> 9.23547935486   || 0
dacht           | dit             | 5.42258644104   <-> 5.39356708527   || 1
dit             | in              | 3.96850299835   <-> 4.36521053314   || 0
in              | het             | 1.94744050503   <-> 1.91497886181   || 1
het             | tussenseizoen   | 7.57859039307   <-> 7.87513256073   || 0
tussenseizoen   | gauw            | 11.2792873383   <-> 10.3272647858   || 1
gauw            | even            | 6.04158067703   <-> 5.49184513092   || 1
even            | te              | 3.71006059647   <-> 2.81118178368   || 1
te              | laten           | 4.70541191101   <-> 4.49005889893   || 1
laten           | <UNK>           | 3.87769269943   <-> 4.59717464447   || 0
<UNK>           | </s>            | 0.632966518402  <-> 0.460102885962  || 1
<s>             | weekje          | 14.0683965683   <-> 13.9166631699   || 1
weekje          | of              | 5.62105941772   <-> 6.15510749817   || 0
of              | drie            | 4.9191236496    <-> 6.53451442719   || 0
drie            | inactiviteit    | 11.9669551849   <-> 11.9950141907   || 0
inactiviteit    | had             | 5.1779718399    <-> 4.62224197388   || 1
had             | de              | 1.63560450077   <-> 1.81981658936   || 0
de              | chirurg         | 9.06981945038   <-> 10.1489248276   || 0
chirurg         | hem             | 4.85778903961   <-> 4.72937011719   || 1
hem             | verteld         | 7.26058197021   <-> 7.09414291382   || 1
verteld         | </s>            | 1.50629162788   <-> 1.03710901737   || 1
<s>             | het             | 2.87807559967   <-> 3.07717347145   || 0
het             | optimisme       | 9.41130065918   <-> 9.49732971191   || 0
optimisme       | van             | 1.5912321806    <-> 1.73355352879   || 0
van             | de              | 1.19808232784   <-> 1.36800384521   || 0
de              | chirurg         | 9.3055524826    <-> 9.76436805725   || 0
chirurg         | wordt           | 4.37454414368   <-> 4.86426210403   || 0
wordt           | veeleer         | 7.85407876968   <-> 8.39282035828   || 0
veeleer         | bepaald         | 6.39567947388   <-> 6.76141166687   || 0
bepaald         | door            | 1.84580361843   <-> 1.84020340443   || 1
door            | de              | 1.16209757328   <-> 1.23316252232   || 0
de              | stand           | 8.83467578888   <-> 7.90712118149   || 1
stand           | van             | 0.572364032269  <-> 1.02101075649   || 0
van             | zijn            | 3.9924955368    <-> 3.69912266731   || 1
zijn            | bankrekening    | 8.8643913269    <-> 9.22149848938   || 0
bankrekening    | dan             | 6.10901021957   <-> 6.24831628799   || 0
dan             | door            | 4.5083398819    <-> 5.32739400864   || 0
door            | wetenschappelijk | 9.88517379761   <-> 10.2488918304   || 0
wetenschappelijk | verantwoorde    | 5.52603340149   <-> 5.87584209442   || 0
verantwoorde    | verwachtingen   | 7.59481525421   <-> 7.59703826904   || 0
verwachtingen   | </s>            | 0.840515196323  <-> 0.654894709587  || 1
<s>             | twee            | 6.37974262238   <-> 6.45766639709   || 0
twee            | jaar            | 2.02008867264   <-> 2.64279317856   || 0
jaar            | lang            | 4.10152292252   <-> 3.71895837784   || 1
lang            | kon             | 5.57021284103   <-> 5.8280248642    || 0
kon             | <UNK>           | 4.28227519989   <-> 3.62324309349   || 1
<UNK>           | nauwelijks      | 6.75904178619   <-> 7.52688550949   || 0
nauwelijks      | stappen         | 8.60966491699   <-> 8.86701774597   || 0
stappen         | </s>            | 1.68044888973   <-> 1.87349200249   || 0
<s>             | en              | 4.00998401642   <-> 4.0184803009    || 0
en              | dat             | 2.52426290512   <-> 2.65895557404   || 0
dat             | is              | 1.94335067272   <-> 1.78619134426   || 1
is              | in              | 3.79952812195   <-> 3.62290692329   || 1
in              | golf            | 12.9472866058   <-> 12.3974742889   || 1
golf            | een             | 4.29133653641   <-> 4.32936811447   || 0
een             | fatale          | 9.61152267456   <-> 9.81527614594   || 0
fatale          | handicap        | 8.604429245     <-> 8.88896465302   || 0
handicap        | aangezien       | 9.40079307556   <-> 9.71112632751   || 0
aangezien       | één           | 7.65204048157   <-> 7.4239616394    || 1
één           | rondje          | 10.6468038559   <-> 9.89834976196   || 1
rondje          | van             | 3.98077201843   <-> 3.73100471497   || 1
van             | achttien        | 6.65698814392   <-> 6.36235618591   || 1
achttien        | holes           | 11.1974258423   <-> 10.9930877686   || 1
holes           | makkelijk       | 10.338727951    <-> 10.2599477768   || 1
makkelijk       | zeven           | 8.07650184631   <-> 9.06458377838   || 0
zeven           | kilometer       | 5.66398763657   <-> 5.87840938568   || 0
kilometer       | bedraagt        | 6.42177772522   <-> 6.36610078812   || 1
bedraagt        | en              | 3.13116884232   <-> 3.05402207375   || 1
en              | een             | 3.84829545021   <-> 2.8857922554    || 1
een             | toernooi        | 10.8216257095   <-> 11.1317462921   || 0
toernooi        | vier            | 6.46599626541   <-> 7.58039474487   || 0
vier            | rondjes         | 10.1714048386   <-> 10.829782486    || 0
rondjes         | van             | 3.47351622581   <-> 3.36699533463   || 1
van             | achttien        | 5.614818573     <-> 5.73413562775   || 0
achttien        | holes           | 10.4124879837   <-> 10.7660455704   || 0
holes           | </s>            | 1.17248094082   <-> 1.06439232826   || 1
<s>             | tenzij          | 9.39501857758   <-> 9.75717258453   || 0
tenzij          | je              | 3.59972667694   <-> 2.87659168243   || 1
je              | zoals           | 7.92497253418   <-> 8.09698677063   || 0
zoals           | Nick            | 9.54439926147   <-> 10.3497219086   || 0
Nick            | <UNK>           | 0.930456995964  <-> 1.22377121449   || 0
<UNK>           | de              | 3.30039024353   <-> 3.30414748192   || 0
de              | cut             | 12.2961511612   <-> 11.6272983551   || 1
cut             | niet            | 5.9089512825    <-> 5.12457084656   || 1
niet            | meer            | 3.55674791336   <-> 3.21999239922   || 1
meer            | overleeft       | 8.61196517944   <-> 8.94573116302   || 0
overleeft       | </s>            | 1.37848389149   <-> 1.06400823593   || 1
<s>             | <UNK>           | 2.73971223831   <-> 2.67753434181   || 1
<UNK>           | kreeg           | 6.59976196289   <-> 6.84899234772   || 0
kreeg           | van             | 4.8430519104    <-> 4.70648860931   || 1
van             | de              | 1.59938335419   <-> 1.49363696575   || 1
de              | Royal           | 9.01750946045   <-> 8.72110080719   || 1
Royal           | and             | 6.85501480103   <-> 6.94514989853   || 0
and             | <UNK>           | 1.23019587994   <-> 0.872020184994  || 1
<UNK>           | de              | 3.06674838066   <-> 2.67602419853   || 1
de              | hoogste         | 6.77631092072   <-> 6.86769914627   || 0
hoogste         | <UNK>           | 1.76027452946   <-> 1.83224916458   || 0
<UNK>           | die             | 3.17073702812   <-> 3.45616436005   || 0
die             | huist           | 12.3893299103   <-> 12.3065061569   || 1
huist           | in              | 2.02841830254   <-> 2.01256322861   || 1
in              | het             | 1.99260139465   <-> 1.95183837414   || 1
het             | Schotse         | 7.16045999527   <-> 7.26364183426   || 0
Schotse         | <UNK>           | 1.28088009357   <-> 1.50199639797   || 0
<UNK>           | geen            | 8.901222229     <-> 8.30765151978   || 1
geen            | toestemming     | 8.70171356201   <-> 9.15879821777   || 0
toestemming     | om              | 3.08677864075   <-> 2.73763847351   || 1
om              | zich            | 4.14843893051   <-> 4.31886672974   || 0
zich            | met             | 4.4049038887    <-> 4.2398147583    || 1
met             | een             | 1.80705809593   <-> 1.91632330418   || 0
