input           | target          | original0       <-> cbow_exp_soft0  || best model: 0:first, 1:second
de              | rest            | 6.10121917725   <-> 5.95478248596   || 1
rest            | van             | 0.685021877289  <-> 0.901293098927  || 0
van             | het             | 2.10338592529   <-> 1.84595477581   || 1
het             | jaar            | 5.32189559937   <-> 3.77988791466   || 1
jaar            | op              | 3.1303935051    <-> 3.25295352936   || 0
op              | geen            | 6.93381690979   <-> 7.28559827805   || 0
geen            | enkele          | 4.57397651672   <-> 3.94162082672   || 1
enkele          | muur            | 8.44169616699   <-> 9.32660102844   || 0
muur            | </s>            | 0.840926647186  <-> 0.59243619442   || 1
<s>             | het             | 2.89617967606   <-> 2.69658827782   || 1
het             | slaan           | 10.9405212402   <-> 11.647403717    || 0
slaan           | op              | 3.60931396484   <-> 3.27396821976   || 1
op              | muren           | 10.4070615768   <-> 9.41763114929   || 1
muren           | zou             | 8.41628265381   <-> 8.65251922607   || 0
zou             | moeten          | 7.09519958496   <-> 6.14682102203   || 1
moeten          | worden          | 2.86126279831   <-> 3.06745672226   || 0
worden          | voorbehouden    | 10.2298231125   <-> 9.28333282471   || 1
voorbehouden    | aan             | 3.47214579582   <-> 3.2321805954    || 1
aan             | mensen          | 6.5851931572    <-> 6.26752948761   || 1
mensen          | die             | 2.07147121429   <-> 1.76199507713   || 1
die             | de              | 2.58151054382   <-> 2.62051439285   || 0
de              | Masters         | 10.5805568695   <-> 11.6786909103   || 0
Masters         | nog             | 4.98118305206   <-> 5.10178422928   || 0
nog             | niet            | 2.47711181641   <-> 2.51220846176   || 0
niet            | gewonnen        | 7.80511760712   <-> 7.79762887955   || 1
gewonnen        | hebben          | 1.7774746418    <-> 1.47987031937   || 1
hebben          | </s>            | 0.544961333275  <-> 0.274076104164  || 1
<s>             | <UNK>           | 3.21768260002   <-> 3.25519418716   || 0
<UNK>           | wist            | 7.56192016602   <-> 7.07496929169   || 1
wist            | waarover        | 9.50027275085   <-> 9.07633399963   || 1
waarover        | hij             | 2.20265293121   <-> 2.47965526581   || 0
hij             | sprak           | 10.0424051285   <-> 8.4297542572    || 1
sprak           | want            | 7.29263734818   <-> 6.1016330719    || 1
want            | hij             | 3.2400970459    <-> 2.26921796799   || 1
hij             | vernielde       | 12.5858306885   <-> 13.21733284     || 0
vernielde       | in              | 3.49094557762   <-> 3.52059030533   || 0
in              | buien           | 14.1537618637   <-> 17.2214298248   || 0
buien           | van             | 2.65114355087   <-> 3.36280345917   || 0
van             | dronken         | 11.1449956894   <-> 10.9569358826   || 1
dronken         | woede           | 9.19978809357   <-> 8.21709632874   || 1
woede           | al              | 6.1024312973    <-> 6.37179613113   || 0
al              | twee            | 5.14881563187   <-> 5.50964832306   || 0
twee            | keer            | 3.17879581451   <-> 2.87556433678   || 1
keer            | zijn            | 5.51088476181   <-> 5.21939611435   || 1
zijn            | eigen           | 4.81037998199   <-> 5.17970466614   || 0
eigen           | huis            | 6.17262077332   <-> 5.28115844727   || 1
huis            | een             | 4.44937229156   <-> 5.05107307434   || 0
een             | keer            | 5.88853406906   <-> 5.16681194305   || 1
keer            | dat             | 4.37095928192   <-> 4.25237083435   || 1
dat             | van             | 5.43534088135   <-> 5.91838645935   || 0
van             | een             | 2.53918910027   <-> 2.48678064346   || 1
een             | buur            | 10.073264122    <-> 9.67966651917   || 1
buur            | en              | 3.34818840027   <-> 3.64050197601   || 0
en              | tussendoor      | 9.43395614624   <-> 10.8520584106   || 0
tussendoor      | ook             | 4.66024875641   <-> 3.95105028152   || 1
ook             | een             | 2.49674654007   <-> 2.19092440605   || 1
een             | auto            | 7.01114273071   <-> 6.4210319519    || 1
auto            | of              | 5.10744571686   <-> 5.49671268463   || 0
of              | vijf            | 6.22203922272   <-> 6.19161987305   || 1
vijf            | </s>            | 4.42742443085   <-> 3.92433619499   || 1
<s>             | de              | 2.21585941315   <-> 2.1093275547    || 1
de              | Masters         | 9.5794506073    <-> 10.4684238434   || 0
Masters         | van             | 2.90870761871   <-> 2.86733436584   || 1
van             | dit             | 5.5698261261    <-> 6.12664890289   || 0
dit             | jaar            | 1.09416592121   <-> 1.45790624619   || 0
jaar            | betekenden      | 11.9640464783   <-> 10.9146108627   || 1
betekenden      | voor            | 4.73457956314   <-> 4.96749973297   || 0
voor            | <UNK>           | 3.06254959106   <-> 3.16861772537   || 0
<UNK>           | de              | 2.8819873333    <-> 2.86713862419   || 1
de              | definitieve     | 8.96505069733   <-> 7.93418264389   || 1
definitieve     | terugkeer       | 8.3738527298    <-> 8.25105190277   || 1
terugkeer       | aan             | 3.45638513565   <-> 4.12060546875   || 0
aan             | de              | 1.15630125999   <-> 1.00157046318   || 1
de              | top             | 5.65077781677   <-> 5.80274629593   || 0
top             | </s>            | 2.11021351814   <-> 1.40248918533   || 1
<s>             | de              | 1.9533905983    <-> 1.65936458111   || 1
de              | Spanjaard       | 6.84248924255   <-> 7.7840681076    || 0
Spanjaard       | ook             | 7.26819133759   <-> 8.39559364319   || 0
ook             | al              | 4.83883953094   <-> 4.78551292419   || 1
al              | winnaar         | 8.99768733978   <-> 9.119556427     || 0
winnaar         | van             | 1.91338086128   <-> 0.932917416096  || 1
van             | het             | 2.37690067291   <-> 2.20813083649   || 1
het             | befaamde        | 8.27149772644   <-> 8.20872879028   || 1
befaamde        | groene          | 9.61242580414   <-> 8.91339588165   || 1
groene          | jasje           | 9.43173217773   <-> 9.009308815     || 1
jasje           | in              | 3.10358071327   <-> 3.12517738342   || 0
in              | negentien       | 3.62931489944   <-> 4.00394010544   || 0
negentien       | honderd         | 0.0064818141982 <-> 0.00359187391587 || 1
honderd         | vier-en         | 2.73439955711   <-> 2.44821190834   || 1
vier-en         | negentig        | 0.837672531605  <-> 0.612212181091  || 1
negentig        | komma           | 3.51524019241   <-> 2.09753990173   || 1
komma           | heeft           | 5.62657928467   <-> 4.7346906662    || 1
heeft           | jaren           | 9.09579563141   <-> 9.40169143677   || 0
jaren           | van             | 4.49076414108   <-> 5.09471130371   || 0
van             | <UNK>           | 2.65946674347   <-> 3.10318899155   || 0
<UNK>           | achter          | 7.30720901489   <-> 7.82029104233   || 0
achter          | de              | 1.15856039524   <-> 0.965517520905  || 1
de              | rug             | 4.0231180191    <-> 1.7686419487    || 1
rug             | </s>            | 1.79736876488   <-> 1.16236305237   || 1
<s>             | oorzaak         | 10.9862480164   <-> 11.3089179993   || 0
oorzaak         | van             | 1.23921585083   <-> 0.936734974384  || 1
van             | dat             | 5.88789463043   <-> 4.97607755661   || 1
dat             | alles           | 6.07289457321   <-> 5.82942199707   || 1
alles           | </s>            | 3.31787180901   <-> 2.00297808647   || 1
<s>             | zijn            | 4.86222267151   <-> 4.89683675766   || 0
zijn            | tenen           | 9.11949157715   <-> 10.6894855499   || 0
tenen           | </s>            | 3.08282756805   <-> 3.09557414055   || 0
<s>             | men             | 7.49837970734   <-> 7.07230854034   || 1
men             | kan             | 3.64465641975   <-> 3.66796135902   || 0
kan             | het             | 3.37154746056   <-> 3.08314752579   || 1
het             | vanuit          | 8.68105888367   <-> 8.49558448792   || 1
vanuit          | twee            | 5.1534781456    <-> 4.50146007538   || 1
twee            | <UNK>           | 3.66102862358   <-> 4.46273803711   || 0
<UNK>           | bekijken        | 7.01997327805   <-> 6.29012346268   || 1
bekijken        | </s>            | 0.552473366261  <-> 0.603976845741  || 0
<s>             | een             | 3.50027704239   <-> 3.44729232788   || 1
een             | van             | 4.11967134476   <-> 4.20516395569   || 0
van             | de              | 0.940377354622  <-> 0.76149559021   || 1
de              | tenen           | 10.7287874222   <-> 11.2985706329   || 0
tenen           | van             | 2.00223374367   <-> 1.52477288246   || 1
van             | zijn            | 3.77207994461   <-> 4.1578001976    || 0
zijn            | rechtervoet     | 11.2749834061   <-> 9.82304573059   || 1
rechtervoet     | was             | 3.66857767105   <-> 3.83522701263   || 0
was             | te              | 5.67240715027   <-> 5.31916332245   || 1
te              | lang            | 4.99927330017   <-> 4.39631938934   || 1
lang            | of              | 5.59437513351   <-> 5.94624996185   || 0
of              | vier            | 7.47712755203   <-> 8.12780189514   || 0
vier            | van             | 4.3149356842    <-> 4.38607025146   || 0
van             | de              | 1.27140808105   <-> 1.01976156235   || 1
de              | tenen           | 10.322353363    <-> 10.335111618    || 0
tenen           | van             | 2.13400411606   <-> 1.99133348465   || 1
van             | zijn            | 3.8205575943    <-> 3.79774522781   || 1
zijn            | rechtervoet     | 11.2796344757   <-> 9.79461765289   || 1
rechtervoet     | waren           | 9.05664253235   <-> 6.77515029907   || 1
waren           | te              | 4.88770866394   <-> 5.05578660965   || 0
te              | kort            | 6.2590970993    <-> 5.23940420151   || 1
kort            | </s>            | 1.10241448879   <-> 1.03148031235   || 1
<s>             | dit             | 5.53546714783   <-> 5.51773643494   || 1
dit             | lijkt           | 4.63207244873   <-> 5.23680734634   || 0
lijkt           | hetzelfde       | 7.87753915787   <-> 8.04837417603   || 0
hetzelfde       | maar            | 3.6200928688    <-> 3.91978812218   || 0
maar            | is              | 4.78546905518   <-> 5.11698913574   || 0
is              | het             | 2.25560092926   <-> 2.83770251274   || 0
het             | niet            | 2.51742172241   <-> 2.48693466187   || 1
niet            | </s>            | 2.34264969826   <-> 2.49009299278   || 0
<s>             | in              | 3.40923929214   <-> 3.67082834244   || 0
in              | de              | 1.16503989697   <-> 1.24718356133   || 0
de              | eerste          | 3.17881178856   <-> 2.82194781303   || 1
eerste          | optiek          | 11.1943473816   <-> 8.84018516541   || 1
optiek          | opereert        | 11.5267019272   <-> 11.9437265396   || 0
opereert        | men             | 5.56022930145   <-> 4.80758047104   || 1
men             | één           | 6.65780067444   <-> 6.41855812073   || 1
één           | teen            | 10.4026517868   <-> 11.8335762024   || 0
teen            | door            | 5.07860326767   <-> 4.39889287949   || 1
door            | er              | 7.14582252502   <-> 7.14286470413   || 1
er              | een             | 2.9222240448    <-> 3.37160944939   || 0
een             | stuk            | 5.26984500885   <-> 5.87614822388   || 0
stuk            | af              | 5.36290454865   <-> 5.64321994781   || 0
af              | te              | 1.67568981647   <-> 1.75345087051   || 0
te              | zagen           | 9.119181633     <-> 9.1942615509    || 0
zagen           | </s>            | 0.650932133198  <-> 0.624119281769  || 1
<s>             | in              | 3.03750514984   <-> 3.41612243652   || 0
in              | de              | 1.14108252525   <-> 1.1901794672    || 0
de              | tweede          | 4.26096630096   <-> 3.83428192139   || 1
tweede          | optiek          | 11.6724462509   <-> 9.63592243195   || 1
optiek          | opereert        | 11.3934106827   <-> 11.9925165176   || 0
opereert        | men             | 5.81659555435   <-> 5.08906078339   || 1
men             | vier            | 6.95865058899   <-> 6.49887752533   || 1
vier            | tenen           | 12.0229635239   <-> 11.3057088852   || 1
tenen           | door            | 5.187541008     <-> 4.84553813934   || 1
door            | er              | 7.41223430634   <-> 7.3530421257    || 1
er              | een             | 3.07904195786   <-> 3.43440508842   || 0
een             | stuk            | 5.28120613098   <-> 5.84370851517   || 0
stuk            | bij             | 5.10493755341   <-> 4.72919940948   || 1
bij             | te              | 3.71422767639   <-> 3.38738059998   || 1
te              | kleven          | 8.82188415527   <-> 7.80141162872   || 1
kleven          | </s>            | 0.454741954803  <-> 0.511520624161  || 0
<s>             | als             | 3.98150634766   <-> 4.4359536171    || 0
als             | het             | 2.70615673065   <-> 2.48906517029   || 1
het             | kan             | 6.41368293762   <-> 6.37727069855   || 1
kan             | voor            | 4.57471942902   <-> 4.73868465424   || 0
voor            | het             | 2.15823698044   <-> 2.08474230766   || 1
het             | ding            | 8.94631958008   <-> 9.5288476944    || 0
ding            | dan             | 5.43412685394   <-> 5.17510795593   || 1
dan             | ook             | 3.87766432762   <-> 3.11024737358   || 1
ook             | voor            | 4.75838756561   <-> 4.32654571533   || 1
voor            | tenen           | 12.3216514587   <-> 14.3091640472   || 0
tenen           | </s>            | 3.27903366089   <-> 1.86919558048   || 1
<s>             | <UNK>           | 3.1929666996    <-> 3.06008267403   || 1
<UNK>           | koos            | 7.90973186493   <-> 7.3764462471    || 1
koos            | voor            | 3.4993159771    <-> 2.28147315979   || 1
voor            | de              | 1.42037582397   <-> 1.56038665771   || 0
de              | eerste          | 4.25582313538   <-> 3.50366044044   || 1
eerste          | methode         | 8.60768318176   <-> 8.55315971375   || 1
methode         | en              | 3.47983551025   <-> 3.88210010529   || 0
en              | dacht           | 8.16986274719   <-> 8.1329870224    || 1
dacht           | dit             | 5.56470966339   <-> 5.42258644104   || 1
dit             | in              | 3.65505003929   <-> 3.96850299835   || 0
in              | het             | 2.03658986092   <-> 1.94744050503   || 1
het             | tussenseizoen   | 9.01055335999   <-> 7.57859039307   || 1
tussenseizoen   | gauw            | 10.6746387482   <-> 11.2792873383   || 0
gauw            | even            | 5.67351341248   <-> 6.04158067703   || 0
even            | te              | 3.6081867218    <-> 3.71006059647   || 0
te              | laten           | 4.67908477783   <-> 4.70541191101   || 0
laten           | <UNK>           | 4.26268625259   <-> 3.87769269943   || 1
<UNK>           | </s>            | 0.712673485279  <-> 0.632966518402  || 1
<s>             | weekje          | 15.2415599823   <-> 14.0683965683   || 1
weekje          | of              | 5.96307420731   <-> 5.62105941772   || 1
of              | drie            | 6.4215927124    <-> 4.9191236496    || 1
drie            | inactiviteit    | 11.9630355835   <-> 11.9669551849   || 0
inactiviteit    | had             | 5.67290353775   <-> 5.1779718399    || 1
had             | de              | 2.14886856079   <-> 1.63560450077   || 1
de              | chirurg         | 9.77689266205   <-> 9.06981945038   || 1
chirurg         | hem             | 5.53137207031   <-> 4.85778903961   || 1
hem             | verteld         | 6.60745477676   <-> 7.26058197021   || 0
verteld         | </s>            | 0.893388807774  <-> 1.50629162788   || 0
<s>             | het             | 2.85978198051   <-> 2.87807559967   || 0
het             | optimisme       | 9.66396617889   <-> 9.41130065918   || 1
optimisme       | van             | 1.64461064339   <-> 1.5912321806    || 1
van             | de              | 1.09189653397   <-> 1.19808232784   || 0
de              | chirurg         | 9.99074363708   <-> 9.3055524826    || 1
chirurg         | wordt           | 4.43412303925   <-> 4.37454414368   || 1
wordt           | veeleer         | 8.63830375671   <-> 7.85407876968   || 1
veeleer         | bepaald         | 6.72909593582   <-> 6.39567947388   || 1
bepaald         | door            | 3.05246257782   <-> 1.84580361843   || 1
door            | de              | 1.19689846039   <-> 1.16209757328   || 1
de              | stand           | 8.2211265564    <-> 8.83467578888   || 0
stand           | van             | 1.04443573952   <-> 0.572364032269  || 1
van             | zijn            | 3.64379262924   <-> 3.9924955368    || 0
zijn            | bankrekening    | 8.82584190369   <-> 8.8643913269    || 0
bankrekening    | dan             | 5.72494316101   <-> 6.10901021957   || 0
dan             | door            | 5.50315237045   <-> 4.5083398819    || 1
door            | wetenschappelijk | 10.2699899673   <-> 9.88517379761   || 1
wetenschappelijk | verantwoorde    | 8.2510061264    <-> 5.52603340149   || 1
verantwoorde    | verwachtingen   | 8.39348983765   <-> 7.59481525421   || 1
verwachtingen   | </s>            | 0.666661798954  <-> 0.840515196323  || 0
<s>             | twee            | 6.33663082123   <-> 6.37974262238   || 0
twee            | jaar            | 2.46537542343   <-> 2.02008867264   || 1
jaar            | lang            | 4.38011455536   <-> 4.10152292252   || 1
lang            | kon             | 5.45491123199   <-> 5.57021284103   || 0
kon             | <UNK>           | 4.39452934265   <-> 4.28227519989   || 1
<UNK>           | nauwelijks      | 7.945977211     <-> 6.75904178619   || 1
nauwelijks      | stappen         | 7.94340705872   <-> 8.60966491699   || 0
stappen         | </s>            | 1.82533192635   <-> 1.68044888973   || 1
<s>             | en              | 4.00813388824   <-> 4.00998401642   || 0
en              | dat             | 2.87408471107   <-> 2.52426290512   || 1
dat             | is              | 1.82655930519   <-> 1.94335067272   || 0
is              | in              | 3.85210323334   <-> 3.79952812195   || 1
in              | golf            | 12.3708496094   <-> 12.9472866058   || 0
golf            | een             | 4.63177061081   <-> 4.29133653641   || 1
een             | fatale          | 9.56700992584   <-> 9.61152267456   || 0
fatale          | handicap        | 7.79643535614   <-> 8.604429245     || 0
handicap        | aangezien       | 9.82438278198   <-> 9.40079307556   || 1
aangezien       | één           | 7.48195934296   <-> 7.65204048157   || 0
één           | rondje          | 11.5680971146   <-> 10.6468038559   || 1
rondje          | van             | 3.84357595444   <-> 3.98077201843   || 0
van             | achttien        | 7.00368738174   <-> 6.65698814392   || 1
achttien        | holes           | 12.8574590683   <-> 11.1974258423   || 1
holes           | makkelijk       | 10.3047142029   <-> 10.338727951    || 0
makkelijk       | zeven           | 8.8553647995    <-> 8.07650184631   || 1
zeven           | kilometer       | 4.21092653275   <-> 5.66398763657   || 0
kilometer       | bedraagt        | 7.60011720657   <-> 6.42177772522   || 1
bedraagt        | en              | 3.16815185547   <-> 3.13116884232   || 1
en              | een             | 3.03854513168   <-> 3.84829545021   || 0
een             | toernooi        | 10.8307285309   <-> 10.8216257095   || 1
toernooi        | vier            | 7.50992298126   <-> 6.46599626541   || 1
vier            | rondjes         | 10.6407260895   <-> 10.1714048386   || 1
rondjes         | van             | 3.91817951202   <-> 3.47351622581   || 1
van             | achttien        | 6.57913303375   <-> 5.614818573     || 1
achttien        | holes           | 12.7465114594   <-> 10.4124879837   || 1
holes           | </s>            | 1.63304495811   <-> 1.17248094082   || 1
<s>             | tenzij          | 9.53739738464   <-> 9.39501857758   || 1
tenzij          | je              | 3.23516225815   <-> 3.59972667694   || 0
je              | zoals           | 7.52048873901   <-> 7.92497253418   || 0
zoals           | Nick            | 10.2033481598   <-> 9.54439926147   || 1
Nick            | <UNK>           | 1.36875653267   <-> 0.930456995964  || 1
<UNK>           | de              | 2.72600412369   <-> 3.30039024353   || 0
de              | cut             | 12.4476604462   <-> 12.2961511612   || 1
cut             | niet            | 4.9752702713    <-> 5.9089512825    || 0
niet            | meer            | 3.5691318512    <-> 3.55674791336   || 1
meer            | overleeft       | 9.84622764587   <-> 8.61196517944   || 1
overleeft       | </s>            | 1.77189326286   <-> 1.37848389149   || 1
<s>             | <UNK>           | 3.02815723419   <-> 2.73971223831   || 1
<UNK>           | kreeg           | 6.26706552505   <-> 6.59976196289   || 0
kreeg           | van             | 4.89323139191   <-> 4.8430519104    || 1
van             | de              | 1.23630857468   <-> 1.59938335419   || 0
de              | Royal           | 8.48195075989   <-> 9.01750946045   || 0
Royal           | and             | 9.14627170563   <-> 6.85501480103   || 1
and             | <UNK>           | 1.00547063351   <-> 1.23019587994   || 0
<UNK>           | de              | 2.84650087357   <-> 3.06674838066   || 0
de              | hoogste         | 7.11290931702   <-> 6.77631092072   || 1
hoogste         | <UNK>           | 1.61399185658   <-> 1.76027452946   || 0
<UNK>           | die             | 3.36067914963   <-> 3.17073702812   || 1
die             | huist           | 12.2577238083   <-> 12.3893299103   || 0
huist           | in              | 2.28136444092   <-> 2.02841830254   || 1
in              | het             | 2.12585139275   <-> 1.99260139465   || 1
het             | Schotse         | 7.91819763184   <-> 7.16045999527   || 1
Schotse         | <UNK>           | 1.32601594925   <-> 1.28088009357   || 1
<UNK>           | geen            | 8.05988883972   <-> 8.901222229     || 0
geen            | toestemming     | 8.42955780029   <-> 8.70171356201   || 0
toestemming     | om              | 2.83463764191   <-> 3.08677864075   || 0
om              | zich            | 4.27716398239   <-> 4.14843893051   || 1
zich            | met             | 3.67360067368   <-> 4.4049038887    || 0
met             | een             | 1.74010384083   <-> 1.80705809593   || 0
een             | karretje        | 11.2865428925   <-> 10.1277179718   || 1
karretje        | door            | 4.92384243011   <-> 5.73101711273   || 0
door            | de              | 1.63564407825   <-> 1.80456256866   || 0
de              | toernooien      | 12.6028862      <-> 12.6257772446   || 0
toernooien      | van             | 2.32933521271   <-> 3.029099226     || 0
van             | de              | 1.04829752445   <-> 1.20194649696   || 0
de              | Europese        | 5.82099294662   <-> 5.11748838425   || 1
Europese        | <UNK>           | 1.921017766     <-> 2.08172750473   || 0
<UNK>           | te              | 1.67819845676   <-> 0.834179759026  || 1
te              | verplaatsen     | 6.81029367447   <-> 5.89679670334   || 1
verplaatsen     | </s>            | 0.300492346287  <-> 0.269338905811  || 1
<s>             | wat             | 5.71319103241   <-> 5.35793495178   || 1
wat             | hij             | 3.63964438438   <-> 4.03202438354   || 0
hij             | wel             | 5.51980495453   <-> 5.76000642776   || 0
wel             | kreeg           | 6.51576519012   <-> 7.05566596985   || 0
kreeg           | was             | 3.43510293961   <-> 3.79549336433   || 0
was             | een             | 2.22494029999   <-> 2.20567250252   || 1
een             | aanval          | 8.56018924713   <-> 7.03952026367   || 1
aanval          | van             | 2.39128756523   <-> 2.47765755653   || 0
van             | artritis        | 12.9600992203   <-> 12.8580293655   || 1
artritis        | een             | 4.28375530243   <-> 4.86738348007   || 0
een             | aanzet          | 9.23271751404   <-> 9.4170923233    || 0
aanzet          | tot             | 3.50319051743   <-> 1.50617039204   || 1
tot             | <UNK>           | 2.461830616     <-> 3.4359536171    || 0
<UNK>           | een             | 4.48643398285   <-> 4.57633924484   || 0
een             | depressie       | 9.00370979309   <-> 8.33491706848   || 1
depressie       | en              | 2.62071657181   <-> 2.60403561592   || 1
en              | een             | 2.38599491119   <-> 2.32089352608   || 1
een             | plaatsje        | 7.63789892197   <-> 8.49184036255   || 0
plaatsje        | in              | 2.28542518616   <-> 2.26373624802   || 1
in              | de              | 1.1620759964    <-> 1.22090053558   || 0
de              | grauwe          | 10.2060174942   <-> 9.51379394531   || 1
grauwe          | middenmoot      | 10.1832418442   <-> 8.46608257294   || 1
middenmoot      | </s>            | 0.681290328503  <-> 0.438457012177  || 1
<s>             | dat             | 3.89798116684   <-> 4.05102729797   || 0
dat             | stelde          | 7.96910429001   <-> 7.50913476944   || 1
stelde          | een             | 2.77285003662   <-> 2.61565566063   || 1
een             | extra           | 7.08047294617   <-> 6.87128543854   || 1
extra           | probleem        | 6.87107133865   <-> 7.12086296082   || 0
probleem        | voor            | 2.60854935646   <-> 2.62968564034   || 0
voor            | zijn            | 3.83436179161   <-> 3.89914464951   || 0
zijn            | landgenoot      | 7.96433544159   <-> 8.09468746185   || 0
landgenoot      | <UNK>           | 1.99541091919   <-> 2.66085290909   || 0
<UNK>           | <UNK>           | 1.91029763222   <-> 1.62885272503   || 1
<UNK>           | die             | 3.30207562447   <-> 3.44742488861   || 0
die             | twee            | 5.92310237885   <-> 6.10613441467   || 0
twee            | jaar            | 2.48247337341   <-> 1.99315989017   || 1
jaar            | geleden         | 0.715930461884  <-> 0.500781536102  || 1
geleden         | captain         | 14.7736110687   <-> 15.3670320511   || 0
captain         | was             | 3.78480315208   <-> 3.31476521492   || 1
was             | van             | 3.73430633545   <-> 3.26521444321   || 1
van             | de              | 1.18614912033   <-> 1.06220436096   || 1
de              | Europese        | 5.55273532867   <-> 4.86343288422   || 1
Europese        | ploeg           | 6.68596363068   <-> 5.25399017334   || 1
ploeg           | voor            | 4.17409420013   <-> 4.02476596832   || 1
voor            | de              | 0.971541702747  <-> 1.05834233761   || 0
de              | Ryder           | 12.7288560867   <-> 13.1490278244   || 0
Ryder           | Cup             | 5.77059936523   <-> 1.4510859251    || 1
Cup             | de              | 4.52915477753   <-> 4.5835018158    || 0
de              | tweejaarlijkse  | 9.97623920441   <-> 9.95055961609   || 1
tweejaarlijkse  | ontmoeting      | 8.96566772461   <-> 8.89985084534   || 1
ontmoeting      | tussen          | 2.5935382843    <-> 2.16470813751   || 1
tussen          | Amerika         | 7.67044401169   <-> 8.35631656647   || 0
Amerika         | en              | 1.00869905949   <-> 0.684184551239  || 1
en              | Europa          | 6.57818841934   <-> 4.8818564415    || 1
Europa          | </s>            | 0.600054383278  <-> 0.521666824818  || 1
<s>             | met             | 4.65609836578   <-> 4.88050985336   || 0
met             | voorsprong      | 10.5163516998   <-> 10.5577878952   || 0
voorsprong      | het             | 6.52677726746   <-> 5.62976646423   || 1
het             | belangrijkste   | 6.74014902115   <-> 5.37601327896   || 1
belangrijkste   | toernooi        | 9.46043395996   <-> 8.63606929779   || 1
toernooi        | in              | 2.67163276672   <-> 2.59832978249   || 1
in              | het             | 2.37168312073   <-> 2.45691585541   || 0
het             | internationale  | 7.60614585876   <-> 6.568400383     || 1
internationale  | golf            | 11.134935379    <-> 10.6085519791   || 1
golf            | </s>            | 3.54217934608   <-> 2.3540802002    || 1
<s>             | er              | 4.70186281204   <-> 4.65542554855   || 1
er              | wordt           | 3.18857836723   <-> 2.81075763702   || 1
wordt           | wisselend       | 12.1429347992   <-> 9.58676052094   || 1
wisselend       | gespeeld        | 6.40888690948   <-> 6.70134878159   || 0
gespeeld        | in              | 2.48607587814   <-> 2.26899576187   || 1
in              | Europa          | 5.83965730667   <-> 4.32817459106   || 1
Europa          | en              | 2.51659727097   <-> 1.9017983675    || 1
en              | Amerika         | 7.51908159256   <-> 6.15443515778   || 1
Amerika         | </s>            | 1.32664442062   <-> 0.728661060333  || 1
<s>             | in              | 3.05780506134   <-> 3.15780854225   || 0
in              | Europa          | 5.36949825287   <-> 2.49155449867   || 1
Europa          | is              | 2.30986976624   <-> 2.23112773895   || 1
is              | het             | 1.83301091194   <-> 1.78368544579   || 1
het             | altijd          | 6.25949287415   <-> 5.91083621979   || 1
altijd          | in              | 3.28075051308   <-> 3.26144766808   || 1
in              | </s>            | 6.8258099556    <-> 6.58845806122   || 1
<s>             | Groot-Brittannië | 9.05839633942   <-> 7.31280851364   || 1
Groot-Brittannië | te              | 7.39029169083   <-> 7.54683494568   || 0
te              | doen            | 4.66644382477   <-> 4.83947467804   || 0
doen            | behalve         | 8.96350860596   <-> 9.04880046844   || 0
behalve         | twee            | 5.43679094315   <-> 6.09343481064   || 0
twee            | jaar            | 3.14444088936   <-> 2.93769526482   || 1
jaar            | geleden         | 1.00610101223   <-> 0.966264128685  || 1
geleden         | </s>            | 2.17714071274   <-> 2.23533272743   || 0
<s>             | toen            | 5.58054685593   <-> 4.84926605225   || 1
toen            | werd            | 5.07631111145   <-> 4.83704090118   || 1
werd            | voor            | 5.53336954117   <-> 5.56545829773   || 0
voor            | het             | 2.40348148346   <-> 2.1371948719    || 1
het             | eerst           | 1.82074117661   <-> 0.474279403687  || 1
eerst           | een             | 2.41600131989   <-> 2.0240457058    || 1
een             | uitzondering    | 7.82986450195   <-> 7.53756952286   || 1
uitzondering    | gemaakt         | 4.03034543991   <-> 4.14523124695   || 0
gemaakt         | en              | 3.54271101952   <-> 2.99750137329   || 1
en              | had             | 5.05499744415   <-> 5.25950145721   || 0
had             | de              | 1.83287858963   <-> 1.92548632622   || 0
de              | Ryder           | 13.1010370255   <-> 12.8385715485   || 1
Ryder           | Cup             | 9.33024215698   <-> 5.19310092926   || 1
Cup             | plaats          | 7.7570066452    <-> 8.09437179565   || 0
plaats          | op              | 2.33004426956   <-> 3.25118374825   || 0
op              | de              | 1.0871707201    <-> 1.09316420555   || 0
de              | baan            | 6.91418743134   <-> 6.73937606812   || 1
baan            | van             | 2.20904636383   <-> 1.85116028786   || 1
van             | </s>            | 7.18993759155   <-> 6.17867612839   || 1
<s>             | bij             | 4.90858507156   <-> 4.91232538223   || 0
bij             | <UNK>           | 3.0974342823    <-> 2.88807535172   || 1
<UNK>           | in              | 3.50557637215   <-> 3.74276852608   || 0
in              | de              | 1.18913245201   <-> 1.32953453064   || 0
de              | achtertuin      | 9.85795307159   <-> 9.46596336365   || 1
achtertuin      | </s>            | 3.5014705658    <-> 2.92137718201   || 1
<s>             | <UNK>           | 2.94782853127   <-> 3.0569126606    || 0
<UNK>           | in              | 3.47399759293   <-> 3.77654075623   || 0
in              | het             | 2.50705218315   <-> 2.31471967697   || 1
het             | team            | 7.05309057236   <-> 7.42888593674   || 0
team            | of              | 6.0436964035    <-> 6.13085651398   || 0
of              | niet            | 5.89813756943   <-> 5.63989543915   || 1
niet            | dat             | 4.03240299225   <-> 4.08118057251   || 0
dat             | scheelde        | 12.956076622    <-> 11.824180603    || 1
scheelde        | een             | 2.50790214539   <-> 2.89300966263   || 0
