input           | target          | original0       <-> cbow_mean_soft0 || best model: 0:first, 1:second
te              | komen           | 3.97349119186   <-> 3.78133845329   || 1
komen           | in              | 3.22977685928   <-> 3.58369517326   || 0
in              | het             | 2.02052950859   <-> 1.72958111763   || 1
het             | professionele   | 9.71067905426   <-> 8.80142688751   || 1
professionele   | golf            | 11.3890705109   <-> 11.3995418549   || 0
golf            | maar            | 5.34573888779   <-> 4.37252187729   || 1
maar            | niemand         | 7.03544902802   <-> 7.39544916153   || 0
niemand         | weet            | 4.22646045685   <-> 4.03697013855   || 1
weet            | waar            | 6.70506000519   <-> 6.68892002106   || 1
waar            | </s>            | 5.27214813232   <-> 4.79806900024   || 1
<s>             | bij             | 5.11093235016   <-> 4.94905376434   || 1
bij             | analogie        | 11.1309728622   <-> 11.5040826797   || 0
analogie        | moet            | 5.58565330505   <-> 5.72493553162   || 0
moet            | vijf            | 8.44062232971   <-> 9.03565597534   || 0
vijf            | boven           | 9.59891986847   <-> 10.1336097717   || 0
boven           | par             | 14.5898284912   <-> 14.0882740021   || 1
par             | dan             | 6.67796754837   <-> 6.49876117706   || 1
dan             | een             | 2.2378411293    <-> 2.27673101425   || 0
een             | <UNK>           | 1.89252460003   <-> 2.04342222214   || 0
<UNK>           | <UNK>           | 2.74762701988   <-> 2.7764544487    || 0
<UNK>           | zijn            | 4.05903863907   <-> 2.47169685364   || 1
zijn            | </s>            | 1.23695254326   <-> 0.786571025848  || 1
<s>             | nooit           | 7.69998645782   <-> 7.9980802536    || 0
nooit           | tegengekomen    | 11.5693473816   <-> 12.075504303    || 0
tegengekomen    | in              | 3.49418592453   <-> 3.50951910019   || 0
in              | de              | 1.17592334747   <-> 1.23703527451   || 0
de              | vakliteratuur   | 12.2324428558   <-> 10.8141212463   || 1
vakliteratuur   | </s>            | 1.59712600708   <-> 1.43690812588   || 1
<s>             | zes             | 7.46860456467   <-> 7.58903408051   || 0
zes             | zou             | 8.66418170929   <-> 9.28885650635   || 0
zou             | <UNK>           | 3.43387174606   <-> 4.22086286545   || 0
<UNK>           | kunnen          | 5.61184215546   <-> 4.48908185959   || 1
kunnen          | zijn            | 2.5912759304    <-> 2.75893855095   || 0
zijn            | al              | 6.05984401703   <-> 6.21739435196   || 0
al              | doet            | 7.3321814537    <-> 6.82899332047   || 1
doet            | dat             | 3.9738047123    <-> 4.04078483582   || 0
dat             | meer            | 5.84785842896   <-> 5.8121509552    || 1
meer            | denken          | 8.27400016785   <-> 8.055352211     || 1
denken          | aan             | 3.61286592484   <-> 2.75566911697   || 1
aan             | een             | 2.44553232193   <-> 2.18587327003   || 1
een             | goedkope        | 8.04768562317   <-> 8.5300989151    || 0
goedkope        | gore            | 11.7240953445   <-> 11.4217567444   || 1
gore            | tent            | 8.90029335022   <-> 8.54467964172   || 1
tent            | in              | 2.9653532505    <-> 3.2532351017    || 0
in              | Soho            | 11.9614200592   <-> 11.3976068497   || 1
Soho            | </s>            | 0.690528988838  <-> 0.475868105888  || 1
<s>             | en              | 4.20953273773   <-> 4.00520610809   || 1
en              | dan             | 3.66930389404   <-> 3.17978191376   || 1
dan             | zijn            | 3.54787778854   <-> 3.30350017548   || 1
zijn            | we              | 1.93139028549   <-> 2.25894927979   || 0
we              | er              | 3.8636739254    <-> 3.51570463181   || 1
er              | </s>            | 6.0387878418    <-> 6.13407707214   || 0
<s>             | John            | 8.81902503967   <-> 8.48706245422   || 1
John            | <UNK>           | 1.31285059452   <-> 1.19632363319   || 1
<UNK>           | op              | 4.74643993378   <-> 4.90256118774   || 0
op              | de              | 1.30409288406   <-> 1.61223721504   || 0
de              | US              | 9.1650352478    <-> 7.07573652267   || 1
US              | Open            | 1.14290380478   <-> 0.138629510999  || 1
Open            | van             | 2.96284365654   <-> 3.72510361671   || 0
van             | dit             | 5.32074165344   <-> 6.08562898636   || 0
dit             | jaar            | 0.763605177402  <-> 2.01616740227   || 0
jaar            | </s>            | 1.97753500938   <-> 1.71964073181   || 1
<s>             | de              | 1.8519974947    <-> 2.11805725098   || 0
de              | achtste         | 8.80850601196   <-> 8.70471382141   || 1
achtste         | hole            | 11.7931928635   <-> 10.9646282196   || 1
