input           | target          | original0       <-> cbow_mean_soft0 || best model: 0:first, 1:second
in              | het             | 2.07018971443   <-> 1.88338315487   || 1
het             | handboek        | 10.2772140503   <-> 10.212228775    || 1
handboek        | van             | 1.15033626556   <-> 1.0450797081    || 1
van             | Peter           | 7.36550331116   <-> 7.60832309723   || 0
Peter           | </s>            | 6.25722026825   <-> 6.38367080688   || 0
<s>             | <UNK>           | 3.16264796257   <-> 2.97641515732   || 1
<UNK>           | staat           | 5.58279323578   <-> 5.67516231537   || 0
staat           | het             | 3.51197957993   <-> 3.63027763367   || 0
het             | zo              | 5.59704065323   <-> 6.4985370636    || 0
zo              | </s>            | 4.55113983154   <-> 4.67829799652   || 0
<s>             | <UNK>           | 3.25297451019   <-> 2.99378299713   || 1
<UNK>           | spelen          | 8.46082687378   <-> 8.25886535645   || 1
spelen          | golf            | 12.5316333771   <-> 12.2224502563   || 1
golf            | om              | 5.47968530655   <-> 5.57110977173   || 0
om              | te              | 3.07535648346   <-> 2.9201169014    || 1
te              | bewijzen        | 5.59147071838   <-> 5.17809200287   || 1
bewijzen        | dat             | 1.32910180092   <-> 1.02998650074   || 1
dat             | ze              | 2.31462574005   <-> 2.73778247833   || 0
ze              | de              | 2.71612858772   <-> 2.62060976028   || 1
de              | mentale         | 9.70036506653   <-> 9.44216346741   || 1
mentale         | druk            | 7.0305480957    <-> 5.77306842804   || 1
druk            | die             | 5.25849151611   <-> 5.4060125351    || 0
die             | golf            | 11.918428421    <-> 12.2754230499   || 0
golf            | op              | 3.52750110626   <-> 4.21035575867   || 0
op              | hen             | 6.41474580765   <-> 7.01387166977   || 0
hen             | legt            | 7.58168125153   <-> 8.19919013977   || 0
legt            | de              | 4.31372880936   <-> 4.48093795776   || 0
de              | baas            | 7.18053388596   <-> 7.07798242569   || 1
baas            | kunnen          | 6.73246192932   <-> 7.43269252777   || 0
kunnen          | </s>            | 3.06228113174   <-> 3.49205327034   || 0
<s>             | dat             | 3.49826812744   <-> 3.67217206955   || 0
dat             | ze              | 4.8536195755    <-> 5.0663523674    || 0
ze              | dat             | 5.34498548508   <-> 5.25043010712   || 1
dat             | niet            | 3.38142561913   <-> 3.15261125565   || 1
niet            | zouden          | 6.11254787445   <-> 5.70487165451   || 1
zouden          | moeten          | 4.39946842194   <-> 4.10220623016   || 1
moeten          | bewijzen        | 6.15207099915   <-> 5.65474224091   || 1
bewijzen        | als             | 4.27349281311   <-> 3.9804930687    || 1
als             | ze              | 2.9942419529    <-> 2.36172819138   || 1
ze              | geen            | 4.25035524368   <-> 4.27774047852   || 0
geen            | golf            | 9.69107246399   <-> 9.88963890076   || 0
golf            | speelden        | 8.24671554565   <-> 8.21792507172   || 1
speelden        | komt            | 6.36425685883   <-> 7.86969518661   || 0
komt            | niet            | 3.20279288292   <-> 2.81940865517   || 1
niet            | in              | 3.17365431786   <-> 2.689640522     || 1
in              | hen             | 7.44694662094   <-> 7.7401599884    || 0
hen             | op              | 4.19817876816   <-> 3.83881044388   || 1
op              | </s>            | 2.35259270668   <-> 1.53164052963   || 1
<s>             | het             | 2.64124774933   <-> 2.80599927902   || 0
het             | is              | 1.64368116856   <-> 1.64977169037   || 0
is              | algemeen        | 9.33135128021   <-> 8.54715156555   || 1
algemeen        | geweten         | 7.12625741959   <-> 6.9378156662    || 1
geweten         | dat             | 0.889784693718  <-> 0.641002058983  || 1
dat             | echte           | 9.73954772949   <-> 9.51413917542   || 1
echte           | <UNK>           | 2.06830072403   <-> 2.56393575668   || 0
<UNK>           | gaan            | 7.9443655014    <-> 7.22210884094   || 1
gaan            | werken          | 5.61337995529   <-> 5.1575012207    || 1
werken          | om              | 3.73947238922   <-> 4.05406665802   || 0
om              | wat             | 5.23755455017   <-> 5.85150957108   || 0
wat             | ontspanning     | 10.3731718063   <-> 10.6004419327   || 0
ontspanning     | te              | 0.414881706238  <-> 0.592303812504  || 0
te              | vinden          | 4.03010177612   <-> 3.49574995041   || 1
vinden          | </s>            | 0.562617957592  <-> 0.371827632189  || 1
<s>             | en              | 3.98174095154   <-> 4.06398391724   || 0
en              | de              | 2.83536481857   <-> 2.62415599823   || 1
de              | befaamde        | 9.77153778076   <-> 10.4218959808   || 0
befaamde        | auteur          | 6.27128696442   <-> 5.77545404434   || 1
auteur          | P               | 8.92623329163   <-> 9.31761360168   || 0
P               | G               | 7.1448507309    <-> 5.62511444092   || 1
G               | <UNK>           | 1.75512933731   <-> 2.31765031815   || 0
<UNK>           | schreef         | 6.16069126129   <-> 6.9004535675    || 0
schreef         | ooit            | 7.2085018158    <-> 7.20582675934   || 1
ooit            | </s>            | 3.94643688202   <-> 3.79049563408   || 1
<s>             | hij             | 3.24039411545   <-> 4.21032142639   || 0
hij             | genoot          | 8.16709327698   <-> 8.68502521515   || 0
genoot          | van             | 3.64751791954   <-> 3.11371421814   || 1
van             | een             | 2.08295202255   <-> 2.04906916618   || 1
een             | volmaakte       | 10.369140625    <-> 10.3872375488   || 0
volmaakte       | rust            | 9.59539794922   <-> 9.6228685379    || 0
rust            | zoals           | 6.06730556488   <-> 5.13083648682   || 1
zoals           | die             | 4.22024059296   <-> 4.46746730804   || 0
die             | alleen          | 6.81405544281   <-> 6.45579481125   || 1
alleen          | voorkomt        | 9.529047966     <-> 9.79063224792   || 0
voorkomt        | bij             | 4.66248083115   <-> 5.07231235504   || 0
bij             | mensen          | 6.58168315887   <-> 6.05833148956   || 1
mensen          | die             | 2.43216753006   <-> 1.2118896246    || 1
die             | net             | 6.631690979     <-> 6.89413166046   || 0
net             | het             | 5.05703449249   <-> 5.7560377121    || 0
het             | golf            | 12.2716579437   <-> 12.6053752899   || 0
golf            | hebben          | 3.69723510742   <-> 3.26184988022   || 1
hebben          | opgegeven       | 8.38005447388   <-> 7.24674224854   || 1
opgegeven       | </s>            | 0.639497578144  <-> 0.44704580307   || 1
<s>             | in              | 3.22366380692   <-> 3.62762212753   || 0
in              | dat             | 5.58653402328   <-> 5.21184158325   || 1
dat             | stadium         | 8.52783203125   <-> 7.45710611343   || 1
stadium         | was             | 3.35581064224   <-> 3.52824544907   || 0
was             | <UNK>           | 4.02497529984   <-> 4.06682109833   || 0
<UNK>           | dus             | 6.45811605453   <-> 6.55665779114   || 0
dus             | niet            | 2.87797808647   <-> 2.2422516346    || 1
niet            | </s>            | 3.12706947327   <-> 2.93761515617   || 1
<s>             | een             | 3.51488256454   <-> 3.70335102081   || 0
een             | lucide          | 10.9170570374   <-> 10.9012479782   || 1
lucide          | Britse          | 8.34917163849   <-> 7.83742809296   || 1
Britse          | verslaggever    | 10.0952148438   <-> 8.85251522064   || 1
verslaggever    | beweerde        | 8.6962223053    <-> 8.26836490631   || 1
beweerde        | dat             | 1.52337825298   <-> 0.652471601963  || 1
dat             | de              | 1.70382499695   <-> 1.79031610489   || 0
de              | Spanjaard       | 9.34065818787   <-> 9.7820930481    || 0
Spanjaard       | het             | 3.50660562515   <-> 3.69203042984   || 0
het             | slachtoffer     | 4.98348617554   <-> 4.66948986053   || 1
slachtoffer     | was             | 2.7860159874    <-> 3.59129714966   || 0
was             | geworden        | 4.87119722366   <-> 5.17749977112   || 0
geworden        | van             | 3.43431472778   <-> 2.40873336792   || 1
van             | zijn            | 3.49347686768   <-> 3.38676428795   || 1
zijn            | eigen           | 4.0007019043    <-> 3.3279838562    || 1
eigen           | rijkdom         | 8.70930290222   <-> 8.37097263336   || 1
rijkdom         | </s>            | 0.754214882851  <-> 0.941401183605  || 0
<s>             | want            | 6.09739685059   <-> 5.98061132431   || 1
want            | had             | 8.73078536987   <-> 8.21079826355   || 1
had             | hij             | 2.17761421204   <-> 1.79653954506   || 1
hij             | zoals           | 8.25796031952   <-> 8.27916145325   || 0
zoals           | ik              | 3.92348575592   <-> 4.93570756912   || 0
ik              | in              | 3.43242883682   <-> 3.38175749779   || 1
in              | een             | 2.45060348511   <-> 2.49766349792   || 0
een             | van             | 5.00353145599   <-> 5.09215736389   || 0
van             | de              | 1.07471847534   <-> 1.09901762009   || 0
de              | goedkope        | 10.4840183258   <-> 10.24421978     || 1
goedkope        | <UNK>           | 1.85775244236   <-> 1.593521595     || 1
<UNK>           | rond            | 7.04797410965   <-> 7.18898868561   || 0
rond            | </s>            | 4.34926843643   <-> 4.00867843628   || 1
<s>             | <UNK>           | 3.41990828514   <-> 3.10029411316   || 1
<UNK>           | moeten          | 7.21733951569   <-> 7.43576145172   || 0
moeten          | logeren         | 10.0864105225   <-> 11.0626401901   || 0
logeren         | dan             | 4.84766387939   <-> 4.95171976089   || 0
dan             | had             | 6.04063987732   <-> 5.14610004425   || 1
had             | de              | 2.20065498352   <-> 2.45001935959   || 0
de              | muur            | 8.15400886536   <-> 9.00998401642   || 0
muur            | omver           | 11.6319274902   <-> 11.2440576553   || 1
omver           | gelegen         | 8.33723449707   <-> 7.69784402847   || 1
gelegen         | en              | 2.41669940948   <-> 2.7046995163    || 0
en              | had             | 5.83204841614   <-> 4.95705413818   || 1
had             | zijn            | 4.9048614502    <-> 4.27405643463   || 1
zijn            | hand            | 6.83134078979   <-> 6.38620710373   || 1
hand            | hooguit         | 10.680721283    <-> 12.0368328094   || 0
hooguit         | een             | 2.1638045311    <-> 2.19189310074   || 0
een             | <UNK>           | 1.95405828953   <-> 2.46376276016   || 0
<UNK>           | vertoond        | 8.80010890961   <-> 9.00619316101   || 0
vertoond        | </s>            | 0.770721793175  <-> 0.383202672005  || 1
<s>             | Spaanse         | 10.2947864532   <-> 10.7165412903   || 0
Spaanse         | reporters       | 9.80650138855   <-> 8.52291870117   || 1
reporters       | schreven        | 7.7380065918    <-> 7.35363388062   || 1
schreven        | opgelucht       | 10.5346164703   <-> 9.39370727539   || 1
opgelucht       | dat             | 2.89061927795   <-> 1.77643668652   || 1
dat             | <UNK>           | 3.80672645569   <-> 4.15314769745   || 0
<UNK>           | nu              | 5.58565998077   <-> 5.46690320969   || 1
nu              | eindelijk       | 7.07552289963   <-> 6.92114639282   || 1
eindelijk       | eens            | 4.43396615982   <-> 4.70452404022   || 0
eens            | over            | 5.62062263489   <-> 5.54947710037   || 1
over            | een             | 2.58186292648   <-> 2.57719564438   || 1
een             | ander           | 5.53767681122   <-> 5.2099647522    || 1
ander           | <UNK>           | 2.38636636734   <-> 2.85361623764   || 0
<UNK>           | kon             | 5.49215984344   <-> 4.47934436798   || 1
kon             | klagen          | 9.37809562683   <-> 9.27201747894   || 1
klagen          | dan             | 4.46961975098   <-> 5.66924619675   || 0
dan             | over            | 5.96913051605   <-> 5.93750858307   || 1
over            | zijn            | 3.5291249752    <-> 3.23645401001   || 1
zijn            | voet            | 8.30283355713   <-> 8.20632743835   || 1
voet            | waarmee         | 7.76843547821   <-> 6.95808172226   || 1
waarmee         | hij             | 2.03775644302   <-> 1.54004621506   || 1
hij             | jaren           | 9.04892158508   <-> 8.4812707901    || 1
jaren           | op              | 3.92801880836   <-> 3.42504096031   || 1
op              | de              | 1.5428763628    <-> 1.41002476215   || 1
de              | sukkel          | 8.77341651917   <-> 6.57826423645   || 1
sukkel          | was             | 3.03257966042   <-> 1.9793856144    || 1
was             | </s>            | 0.761859178543  <-> 1.05597579479   || 0
<s>             | <UNK>           | 3.08876037598   <-> 3.17890429497   || 0
<UNK>           | heeft           | 3.58345389366   <-> 4.32297611237   || 0
heeft           | trouwens        | 7.13601970673   <-> 6.5833978653    || 1
trouwens        | minder          | 6.54514884949   <-> 7.14935255051   || 0
minder          | redenen         | 7.52268981934   <-> 7.23140478134   || 1
redenen         | tot             | 4.97203111649   <-> 5.56517696381   || 0
tot             | klagen          | 12.2001342773   <-> 11.4946174622   || 1
klagen          | dan             | 4.46448278427   <-> 5.61840438843   || 0
dan             | de              | 2.22120165825   <-> 2.76044464111   || 0
de              | meesten         | 7.31183052063   <-> 7.33769607544   || 0
meesten         | van             | 2.09532475471   <-> 2.13531255722   || 0
van             | ons             | 5.48244380951   <-> 5.88625574112   || 0
ons             | want            | 7.94841003418   <-> 8.56986236572   || 0
want            | hij             | 3.64185118675   <-> 2.69318199158   || 1
hij             | won             | 7.20693206787   <-> 6.71281719208   || 1
won             | in              | 2.76708936691   <-> 2.66588020325   || 1
in              | de              | 1.18759131432   <-> 1.45338761806   || 0
de              | lente           | 6.64400577545   <-> 6.14175224304   || 1
lente           | van             | 1.18354058266   <-> 0.790966212749  || 1
van             | dit             | 4.91504859924   <-> 4.73202466965   || 1
dit             | jaar            | 0.698171854019  <-> 0.516381680965  || 1
jaar            | de              | 2.97132539749   <-> 3.12911987305   || 0
de              | Masters         | 9.08424377441   <-> 9.29120445251   || 0
Masters         | op              | 3.40079784393   <-> 3.22973251343   || 1
op              | <UNK>           | 3.11142444611   <-> 3.01764798164   || 1
<UNK>           | </s>            | 1.07798218727   <-> 0.807920753956  || 1
<s>             | wat             | 5.61051511765   <-> 4.94694042206   || 1
wat             | John            | 9.71602058411   <-> 9.62160110474   || 1
John            | </s>            | 6.00921440125   <-> 5.47796821594   || 1
<s>             | <UNK>           | 2.87951517105   <-> 3.09828567505   || 0
<UNK>           | op              | 4.79962825775   <-> 5.21370506287   || 0
op              | dat             | 5.66089057922   <-> 5.4170498848    || 1
dat             | moment          | 1.52005469799   <-> 1.05285680294   || 1
moment          | onbewust        | 11.6663560867   <-> 11.6538085938   || 1
onbewust        | van             | 3.78703427315   <-> 4.4811000824    || 0
van             | het             | 2.136510849     <-> 2.36200714111   || 0
het             | bestaan         | 7.92322349548   <-> 6.74368000031   || 1
bestaan         | van             | 1.06333625317   <-> 0.917059898376  || 1
van             | het             | 2.17643928528   <-> 2.01643800735   || 1
het             | woord           | 5.69165229797   <-> 4.59928417206   || 1
woord           | <UNK>           | 2.08998703957   <-> 2.7093129158    || 0
<UNK>           | deed            | 8.02898788452   <-> 6.98483181      || 1
deed            | opmerken        | 12.1406898499   <-> 12.2688350677   || 0
opmerken        | </s>            | 1.26065278053   <-> 1.41662740707   || 0
<s>             | mocht           | 8.939453125     <-> 8.5266456604    || 1
mocht           | ik              | 2.36790657043   <-> 2.61992955208   || 0
ik              | de              | 2.86563205719   <-> 2.57759904861   || 1
de              | Masters         | 10.338133812    <-> 10.1094875336   || 1
Masters         | gewonnen        | 7.810338974     <-> 7.35108184814   || 1
gewonnen        | hebben          | 2.34406375885   <-> 2.25197505951   || 1
hebben          | ik              | 7.42398309708   <-> 7.70566415787   || 0
ik              | sloeg           | 8.85008049011   <-> 7.94774103165   || 1
sloeg           | de              | 2.8098347187    <-> 2.75039625168   || 1
de              | rest            | 6.10121917725   <-> 5.8584728241    || 1
rest            | van             | 0.685021877289  <-> 0.458014339209  || 1
van             | het             | 2.10338592529   <-> 1.93614733219   || 1
het             | jaar            | 5.32189559937   <-> 3.59855103493   || 1
jaar            | op              | 3.1303935051    <-> 2.98677992821   || 1
op              | geen            | 6.93381690979   <-> 7.36751937866   || 0
geen            | enkele          | 4.57397651672   <-> 3.38074684143   || 1
enkele          | muur            | 8.44169616699   <-> 8.83369350433   || 0
muur            | </s>            | 0.840926647186  <-> 0.891181468964  || 0
<s>             | het             | 2.89617967606   <-> 2.82512879372   || 1
het             | slaan           | 10.9405212402   <-> 11.4545373917   || 0
slaan           | op              | 3.60931396484   <-> 3.53606009483   || 1
op              | muren           | 10.4070615768   <-> 10.8137149811   || 0
muren           | zou             | 8.41628265381   <-> 9.44845104218   || 0
zou             | moeten          | 7.09519958496   <-> 6.10413360596   || 1
moeten          | worden          | 2.86126279831   <-> 2.82278609276   || 1
worden          | voorbehouden    | 10.2298231125   <-> 10.7159605026   || 0
voorbehouden    | aan             | 3.47214579582   <-> 2.65046238899   || 1
aan             | mensen          | 6.5851931572    <-> 6.80768871307   || 0
mensen          | die             | 2.07147121429   <-> 1.07711017132   || 1
die             | de              | 2.58151054382   <-> 2.38844776154   || 1
de              | Masters         | 10.5805568695   <-> 10.6154413223   || 0
Masters         | nog             | 4.98118305206   <-> 4.45775032043   || 1
nog             | niet            | 2.47711181641   <-> 2.48267555237   || 0
niet            | gewonnen        | 7.80511760712   <-> 7.25045919418   || 1
gewonnen        | hebben          | 1.7774746418    <-> 1.436414361     || 1
hebben          | </s>            | 0.544961333275  <-> 0.495237320662  || 1
<s>             | <UNK>           | 3.21768260002   <-> 3.2321331501    || 0
<UNK>           | wist            | 7.56192016602   <-> 7.06155109406   || 1
wist            | waarover        | 9.50027275085   <-> 8.71343994141   || 1
waarover        | hij             | 2.20265293121   <-> 2.66894364357   || 0
hij             | sprak           | 10.0424051285   <-> 8.69012641907   || 1
sprak           | want            | 7.29263734818   <-> 5.84495592117   || 1
want            | hij             | 3.2400970459    <-> 3.34428215027   || 0
hij             | vernielde       | 12.5858306885   <-> 12.6863765717   || 0
vernielde       | in              | 3.49094557762   <-> 3.21901535988   || 1
in              | buien           | 14.1537618637   <-> 15.8984222412   || 0
buien           | van             | 2.65114355087   <-> 3.41549158096   || 0
van             | dronken         | 11.1449956894   <-> 10.2601461411   || 1
dronken         | woede           | 9.19978809357   <-> 8.6448507309    || 1
woede           | al              | 6.1024312973    <-> 6.46355819702   || 0
al              | twee            | 5.14881563187   <-> 5.54082298279   || 0
twee            | keer            | 3.17879581451   <-> 3.03582549095   || 1
keer            | zijn            | 5.51088476181   <-> 5.10453939438   || 1
zijn            | eigen           | 4.81037998199   <-> 4.84576034546   || 0
eigen           | huis            | 6.17262077332   <-> 5.71771001816   || 1
huis            | een             | 4.44937229156   <-> 4.57125091553   || 0
een             | keer            | 5.88853406906   <-> 5.87644195557   || 1
keer            | dat             | 4.37095928192   <-> 3.52676820755   || 1
dat             | van             | 5.43534088135   <-> 4.73561286926   || 1
van             | een             | 2.53918910027   <-> 2.55568695068   || 0
een             | buur            | 10.073264122    <-> 9.1755027771    || 1
buur            | en              | 3.34818840027   <-> 2.77658987045   || 1
en              | tussendoor      | 9.43395614624   <-> 10.3167953491   || 0
tussendoor      | ook             | 4.66024875641   <-> 4.60036611557   || 1
ook             | een             | 2.49674654007   <-> 2.67060828209   || 0
een             | auto            | 7.01114273071   <-> 6.62188529968   || 1
auto            | of              | 5.10744571686   <-> 4.93162155151   || 1
of              | vijf            | 6.22203922272   <-> 6.45483398438   || 0
vijf            | </s>            | 4.42742443085   <-> 2.62000322342   || 1
<s>             | de              | 2.21585941315   <-> 2.12882804871   || 1
de              | Masters         | 9.5794506073    <-> 9.91436958313   || 0
Masters         | van             | 2.90870761871   <-> 2.99904251099   || 0
van             | dit             | 5.5698261261    <-> 6.3805937767    || 0
dit             | jaar            | 1.09416592121   <-> 1.81714570522   || 0
jaar            | betekenden      | 11.9640464783   <-> 11.7881937027   || 1
betekenden      | voor            | 4.73457956314   <-> 4.25533151627   || 1
voor            | <UNK>           | 3.06254959106   <-> 3.35523343086   || 0
<UNK>           | de              | 2.8819873333    <-> 2.87774300575   || 1
de              | definitieve     | 8.96505069733   <-> 8.48704147339   || 1
definitieve     | terugkeer       | 8.3738527298    <-> 8.02794933319   || 1
terugkeer       | aan             | 3.45638513565   <-> 4.45114374161   || 0
aan             | de              | 1.15630125999   <-> 1.01394605637   || 1
de              | top             | 5.65077781677   <-> 6.87432098389   || 0
top             | </s>            | 2.11021351814   <-> 1.76922011375   || 1
<s>             | de              | 1.9533905983    <-> 1.98082900047   || 0
de              | Spanjaard       | 6.84248924255   <-> 7.7271156311    || 0
Spanjaard       | ook             | 7.26819133759   <-> 7.8441696167    || 0
ook             | al              | 4.83883953094   <-> 4.49010467529   || 1
al              | winnaar         | 8.99768733978   <-> 11.1157798767   || 0
winnaar         | van             | 1.91338086128   <-> 2.15597438812   || 0
van             | het             | 2.37690067291   <-> 2.11793375015   || 1
het             | befaamde        | 8.27149772644   <-> 8.25834083557   || 1
befaamde        | groene          | 9.61242580414   <-> 8.76051902771   || 1
groene          | jasje           | 9.43173217773   <-> 8.96451568604   || 1
jasje           | in              | 3.10358071327   <-> 3.14904308319   || 0
in              | negentien       | 3.62931489944   <-> 4.35000705719   || 0
negentien       | honderd         | 0.0064818141982 <-> 0.00366991059855 || 1
honderd         | vier-en         | 2.73439955711   <-> 2.23881840706   || 1
vier-en         | negentig        | 0.837672531605  <-> 0.58384513855   || 1
negentig        | komma           | 3.51524019241   <-> 3.53186631203   || 0
komma           | heeft           | 5.62657928467   <-> 4.05021476746   || 1
heeft           | jaren           | 9.09579563141   <-> 10.8962488174   || 0
jaren           | van             | 4.49076414108   <-> 4.72438764572   || 0
van             | <UNK>           | 2.65946674347   <-> 3.15324854851   || 0
<UNK>           | achter          | 7.30720901489   <-> 8.12479972839   || 0
achter          | de              | 1.15856039524   <-> 0.992663383484  || 1
de              | rug             | 4.0231180191    <-> 2.92577314377   || 1
rug             | </s>            | 1.79736876488   <-> 1.8255199194    || 0
<s>             | oorzaak         | 10.9862480164   <-> 10.8031778336   || 1
oorzaak         | van             | 1.23921585083   <-> 1.01681184769   || 1
van             | dat             | 5.88789463043   <-> 5.31390285492   || 1
dat             | alles           | 6.07289457321   <-> 5.68222522736   || 1
alles           | </s>            | 3.31787180901   <-> 1.99253237247   || 1
<s>             | zijn            | 4.86222267151   <-> 4.93590831757   || 0
zijn            | tenen           | 9.11949157715   <-> 10.0058937073   || 0
tenen           | </s>            | 3.08282756805   <-> 2.96133160591   || 1
<s>             | men             | 7.49837970734   <-> 7.27318620682   || 1
men             | kan             | 3.64465641975   <-> 3.63275742531   || 1
kan             | het             | 3.37154746056   <-> 3.15914678574   || 1
het             | vanuit          | 8.68105888367   <-> 8.22126579285   || 1
vanuit          | twee            | 5.1534781456    <-> 4.87774944305   || 1
twee            | <UNK>           | 3.66102862358   <-> 4.24782752991   || 0
<UNK>           | bekijken        | 7.01997327805   <-> 6.95450735092   || 1
bekijken        | </s>            | 0.552473366261  <-> 0.92687022686   || 0
<s>             | een             | 3.50027704239   <-> 3.45334863663   || 1
een             | van             | 4.11967134476   <-> 3.76586651802   || 1
van             | de              | 0.940377354622  <-> 0.790563464165  || 1
de              | tenen           | 10.7287874222   <-> 10.7517290115   || 0
tenen           | van             | 2.00223374367   <-> 1.38840138912   || 1
van             | zijn            | 3.77207994461   <-> 3.75879526138   || 1
zijn            | rechtervoet     | 11.2749834061   <-> 9.87470149994   || 1
rechtervoet     | was             | 3.66857767105   <-> 3.81588149071   || 0
was             | te              | 5.67240715027   <-> 5.48865270615   || 1
te              | lang            | 4.99927330017   <-> 4.75511264801   || 1
lang            | of              | 5.59437513351   <-> 5.77540016174   || 0
of              | vier            | 7.47712755203   <-> 7.95925378799   || 0
vier            | van             | 4.3149356842    <-> 3.96501588821   || 1
van             | de              | 1.27140808105   <-> 1.28417551517   || 0
de              | tenen           | 10.322353363    <-> 10.6979618073   || 0
tenen           | van             | 2.13400411606   <-> 1.43798553944   || 1
van             | zijn            | 3.8205575943    <-> 3.85334300995   || 0
zijn            | rechtervoet     | 11.2796344757   <-> 9.91802310944   || 1
rechtervoet     | waren           | 9.05664253235   <-> 7.5374917984    || 1
waren           | te              | 4.88770866394   <-> 4.99764251709   || 0
te              | kort            | 6.2590970993    <-> 5.46424388885   || 1
kort            | </s>            | 1.10241448879   <-> 0.959498286247  || 1
<s>             | dit             | 5.53546714783   <-> 5.16976213455   || 1
dit             | lijkt           | 4.63207244873   <-> 5.11573410034   || 0
lijkt           | hetzelfde       | 7.87753915787   <-> 7.41434383392   || 1
hetzelfde       | maar            | 3.6200928688    <-> 3.4708480835    || 1
maar            | is              | 4.78546905518   <-> 4.27135181427   || 1
is              | het             | 2.25560092926   <-> 2.1244828701    || 1
het             | niet            | 2.51742172241   <-> 2.67877793312   || 0
niet            | </s>            | 2.34264969826   <-> 2.66043782234   || 0
<s>             | in              | 3.40923929214   <-> 3.4215157032    || 0
in              | de              | 1.16503989697   <-> 1.15285813808   || 1
de              | eerste          | 3.17881178856   <-> 2.76286172867   || 1
eerste          | optiek          | 11.1943473816   <-> 9.14335250854   || 1
optiek          | opereert        | 11.5267019272   <-> 11.4940814972   || 1
opereert        | men             | 5.56022930145   <-> 4.22298765182   || 1
men             | één           | 6.65780067444   <-> 7.29816484451   || 0
één           | teen            | 10.4026517868   <-> 12.4195842743   || 0
teen            | door            | 5.07860326767   <-> 4.88236045837   || 1
door            | er              | 7.14582252502   <-> 6.37353467941   || 1
er              | een             | 2.9222240448    <-> 2.55761909485   || 1
een             | stuk            | 5.26984500885   <-> 5.56303215027   || 0
stuk            | af              | 5.36290454865   <-> 6.05245637894   || 0
af              | te              | 1.67568981647   <-> 0.969673037529  || 1
te              | zagen           | 9.119181633     <-> 8.95565605164   || 1
zagen           | </s>            | 0.650932133198  <-> 0.673704147339  || 0
<s>             | in              | 3.03750514984   <-> 3.41942691803   || 0
in              | de              | 1.14108252525   <-> 1.2057352066    || 0
de              | tweede          | 4.26096630096   <-> 4.13914394379   || 1
tweede          | optiek          | 11.6724462509   <-> 9.31699848175   || 1
optiek          | opereert        | 11.3934106827   <-> 11.5731124878   || 0
opereert        | men             | 5.81659555435   <-> 3.76805210114   || 1
men             | vier            | 6.95865058899   <-> 7.77291202545   || 0
vier            | tenen           | 12.0229635239   <-> 12.6927013397   || 0
tenen           | door            | 5.187541008     <-> 4.98159456253   || 1
door            | er              | 7.41223430634   <-> 5.86435222626   || 1
er              | een             | 3.07904195786   <-> 2.38264560699   || 1
een             | stuk            | 5.28120613098   <-> 5.53803062439   || 0
stuk            | bij             | 5.10493755341   <-> 5.01806640625   || 1
bij             | te              | 3.71422767639   <-> 2.10625815392   || 1
te              | kleven          | 8.82188415527   <-> 8.6836605072    || 1
kleven          | </s>            | 0.454741954803  <-> 0.458399504423  || 0
<s>             | als             | 3.98150634766   <-> 4.39556026459   || 0
als             | het             | 2.70615673065   <-> 2.52487039566   || 1
het             | kan             | 6.41368293762   <-> 6.3012008667    || 1
kan             | voor            | 4.57471942902   <-> 5.0478386879    || 0
voor            | het             | 2.15823698044   <-> 2.02951526642   || 1
het             | ding            | 8.94631958008   <-> 9.10175037384   || 0
ding            | dan             | 5.43412685394   <-> 5.31593132019   || 1
dan             | ook             | 3.87766432762   <-> 3.33136296272   || 1
ook             | voor            | 4.75838756561   <-> 4.78889083862   || 0
voor            | tenen           | 12.3216514587   <-> 13.9193687439   || 0
tenen           | </s>            | 3.27903366089   <-> 2.00739908218   || 1
<s>             | <UNK>           | 3.1929666996    <-> 2.977653265     || 1
<UNK>           | koos            | 7.90973186493   <-> 7.89385795593   || 1
koos            | voor            | 3.4993159771    <-> 1.90613102913   || 1
voor            | de              | 1.42037582397   <-> 1.44337332249   || 0
de              | eerste          | 4.25582313538   <-> 3.28974533081   || 1
eerste          | methode         | 8.60768318176   <-> 8.17444133759   || 1
methode         | en              | 3.47983551025   <-> 3.55451583862   || 0
en              | dacht           | 8.16986274719   <-> 8.92830467224   || 0
dacht           | dit             | 5.56470966339   <-> 6.49606561661   || 0
dit             | in              | 3.65505003929   <-> 3.35973310471   || 1
in              | het             | 2.03658986092   <-> 1.6931861639    || 1
het             | tussenseizoen   | 9.01055335999   <-> 7.47225379944   || 1
tussenseizoen   | gauw            | 10.6746387482   <-> 10.1592283249   || 1
gauw            | even            | 5.67351341248   <-> 5.31030893326   || 1
even            | te              | 3.6081867218    <-> 4.21636819839   || 0
te              | laten           | 4.67908477783   <-> 5.3566699028    || 0
laten           | <UNK>           | 4.26268625259   <-> 4.30883646011   || 0
<UNK>           | </s>            | 0.712673485279  <-> 1.06117987633   || 0
<s>             | weekje          | 15.2415599823   <-> 14.1758861542   || 1
weekje          | of              | 5.96307420731   <-> 5.35308837891   || 1
of              | drie            | 6.4215927124    <-> 4.96675777435   || 1
drie            | inactiviteit    | 11.9630355835   <-> 12.7447080612   || 0
inactiviteit    | had             | 5.67290353775   <-> 6.21213197708   || 0
had             | de              | 2.14886856079   <-> 1.7542270422    || 1
