input           | target          | original0       <-> cbow_tfidf_lstm0 || best model: 0:first, 1:second
te              | komen           | 3.97349119186   <-> 3.75445556641   || 1
komen           | in              | 3.22977685928   <-> 3.3088092804    || 0
in              | het             | 2.02052950859   <-> 1.86248528957   || 1
het             | professionele   | 9.71067905426   <-> 9.38339233398   || 1
professionele   | golf            | 11.3890705109   <-> 10.8742256165   || 1
golf            | maar            | 5.34573888779   <-> 4.6198091507    || 1
maar            | niemand         | 7.03544902802   <-> 6.77172851562   || 1
niemand         | weet            | 4.22646045685   <-> 3.59747409821   || 1
weet            | waar            | 6.70506000519   <-> 6.89046955109   || 0
waar            | </s>            | 5.27214813232   <-> 5.1220369339    || 1
<s>             | bij             | 5.11093235016   <-> 5.11658763885   || 0
bij             | analogie        | 11.1309728622   <-> 11.6898956299   || 0
analogie        | moet            | 5.58565330505   <-> 5.78919172287   || 0
moet            | vijf            | 8.44062232971   <-> 9.14524078369   || 0
vijf            | boven           | 9.59891986847   <-> 10.9428272247   || 0
boven           | par             | 14.5898284912   <-> 14.5016441345   || 1
par             | dan             | 6.67796754837   <-> 7.68153381348   || 0
dan             | een             | 2.2378411293    <-> 2.51080465317   || 0
een             | <UNK>           | 1.89252460003   <-> 2.18562674522   || 0
<UNK>           | <UNK>           | 2.74762701988   <-> 2.84797239304   || 0
<UNK>           | zijn            | 4.05903863907   <-> 3.29251289368   || 1
zijn            | </s>            | 1.23695254326   <-> 1.15241932869   || 1
<s>             | nooit           | 7.69998645782   <-> 8.02218151093   || 0
nooit           | tegengekomen    | 11.5693473816   <-> 12.3170118332   || 0
tegengekomen    | in              | 3.49418592453   <-> 3.24677300453   || 1
in              | de              | 1.17592334747   <-> 1.20952630043   || 0
de              | vakliteratuur   | 12.2324428558   <-> 11.1173343658   || 1
vakliteratuur   | </s>            | 1.59712600708   <-> 1.35463500023   || 1
<s>             | zes             | 7.46860456467   <-> 7.39908981323   || 1
zes             | zou             | 8.66418170929   <-> 9.13499259949   || 0
zou             | <UNK>           | 3.43387174606   <-> 4.36958837509   || 0
<UNK>           | kunnen          | 5.61184215546   <-> 5.00899124146   || 1
kunnen          | zijn            | 2.5912759304    <-> 3.14351153374   || 0
zijn            | al              | 6.05984401703   <-> 6.1167049408    || 0
al              | doet            | 7.3321814537    <-> 7.4765996933    || 0
doet            | dat             | 3.9738047123    <-> 3.75277876854   || 1
dat             | meer            | 5.84785842896   <-> 5.21565818787   || 1
meer            | denken          | 8.27400016785   <-> 7.54911231995   || 1
denken          | aan             | 3.61286592484   <-> 3.08618307114   || 1
aan             | een             | 2.44553232193   <-> 2.59177780151   || 0
een             | goedkope        | 8.04768562317   <-> 8.80350112915   || 0
goedkope        | gore            | 11.7240953445   <-> 11.9181547165   || 0
gore            | tent            | 8.90029335022   <-> 9.46272563934   || 0
tent            | in              | 2.9653532505    <-> 3.0373108387    || 0
in              | Soho            | 11.9614200592   <-> 11.1687936783   || 1
Soho            | </s>            | 0.690528988838  <-> 0.602588832378  || 1
<s>             | en              | 4.20953273773   <-> 4.06708335876   || 1
en              | dan             | 3.66930389404   <-> 3.3356115818    || 1
dan             | zijn            | 3.54787778854   <-> 3.15603399277   || 1
zijn            | we              | 1.93139028549   <-> 2.05923175812   || 0
we              | er              | 3.8636739254    <-> 3.66680407524   || 1
er              | </s>            | 6.0387878418    <-> 6.06411552429   || 0
<s>             | John            | 8.81902503967   <-> 8.16902732849   || 1
John            | <UNK>           | 1.31285059452   <-> 1.75783360004   || 0
<UNK>           | op              | 4.74643993378   <-> 4.83251047134   || 0
op              | de              | 1.30409288406   <-> 1.65668773651   || 0
de              | US              | 9.1650352478    <-> 7.24490642548   || 1
US              | Open            | 1.14290380478   <-> 0.3351739645    || 1
Open            | van             | 2.96284365654   <-> 3.24335312843   || 0
van             | dit             | 5.32074165344   <-> 5.69699668884   || 0
dit             | jaar            | 0.763605177402  <-> 1.25315308571   || 0
jaar            | </s>            | 1.97753500938   <-> 1.57012736797   || 1
<s>             | de              | 1.8519974947    <-> 1.98693776131   || 0
de              | achtste         | 8.80850601196   <-> 9.33690452576   || 0
achtste         | hole            | 11.7931928635   <-> 11.2898769379   || 1
hole            | op              | 3.94823169708   <-> 4.45580244064   || 0
op              | de              | 1.14308214188   <-> 1.2844940424    || 0
de              | baan            | 7.53812217712   <-> 7.5481262207    || 0
baan            | van             | 2.10328030586   <-> 2.01438379288   || 1
van             | <UNK>           | 2.347843647     <-> 2.70937204361   || 0
<UNK>           | No              | 10.5282506943   <-> 11.0027637482   || 0
No              | </s>            | 3.77538108826   <-> 3.23209500313   || 1
