input           | target          | original0       <-> cbow_tfidf_lstm0 || best model: 0:first, 1:second
zouden          | moeten          | 4.39946842194   <-> 3.71825361252   || 1
moeten          | bewijzen        | 6.15207099915   <-> 6.51579618454   || 0
bewijzen        | als             | 4.27349281311   <-> 5.05615472794   || 0
als             | ze              | 2.9942419529    <-> 3.35669136047   || 0
ze              | geen            | 4.25035524368   <-> 4.50873231888   || 0
geen            | golf            | 9.69107246399   <-> 10.113202095    || 0
golf            | speelden        | 8.24671554565   <-> 8.99597263336   || 0
speelden        | komt            | 6.36425685883   <-> 7.46857500076   || 0
komt            | niet            | 3.20279288292   <-> 3.17674827576   || 1
niet            | in              | 3.17365431786   <-> 2.72617220879   || 1
in              | hen             | 7.44694662094   <-> 7.6464509964    || 0
hen             | op              | 4.19817876816   <-> 3.57331490517   || 1
op              | </s>            | 2.35259270668   <-> 1.90523028374   || 1
<s>             | het             | 2.64124774933   <-> 2.78782010078   || 0
het             | is              | 1.64368116856   <-> 1.8089209795    || 0
is              | algemeen        | 9.33135128021   <-> 7.9043340683    || 1
algemeen        | geweten         | 7.12625741959   <-> 7.47703170776   || 0
geweten         | dat             | 0.889784693718  <-> 0.797066152096  || 1
dat             | echte           | 9.73954772949   <-> 10.4300804138   || 0
echte           | <UNK>           | 2.06830072403   <-> 2.28515100479   || 0
<UNK>           | gaan            | 7.9443655014    <-> 7.63596534729   || 1
gaan            | werken          | 5.61337995529   <-> 4.92042446136   || 1
werken          | om              | 3.73947238922   <-> 4.03336048126   || 0
om              | wat             | 5.23755455017   <-> 5.76949882507   || 0
wat             | ontspanning     | 10.3731718063   <-> 10.0912952423   || 1
ontspanning     | te              | 0.414881706238  <-> 0.511315107346  || 0
te              | vinden          | 4.03010177612   <-> 3.70834779739   || 1
vinden          | </s>            | 0.562617957592  <-> 0.490607589483  || 1
<s>             | en              | 3.98174095154   <-> 4.06708335876   || 0
en              | de              | 2.83536481857   <-> 2.37159276009   || 1
de              | befaamde        | 9.77153778076   <-> 10.0367517471   || 0
befaamde        | auteur          | 6.27128696442   <-> 5.75060367584   || 1
auteur          | P               | 8.92623329163   <-> 9.38234901428   || 0
P               | G               | 7.1448507309    <-> 6.26915693283   || 1
G               | <UNK>           | 1.75512933731   <-> 2.14268732071   || 0
<UNK>           | schreef         | 6.16069126129   <-> 6.99138975143   || 0
schreef         | ooit            | 7.2085018158    <-> 7.34845304489   || 0
ooit            | </s>            | 3.94643688202   <-> 2.98421168327   || 1
<s>             | hij             | 3.24039411545   <-> 3.92822575569   || 0
hij             | genoot          | 8.16709327698   <-> 7.97495937347   || 1
genoot          | van             | 3.64751791954   <-> 3.61578822136   || 1
van             | een             | 2.08295202255   <-> 2.3130030632    || 0
een             | volmaakte       | 10.369140625    <-> 10.4574890137   || 0
volmaakte       | rust            | 9.59539794922   <-> 8.68794250488   || 1
rust            | zoals           | 6.06730556488   <-> 5.63242912292   || 1
zoals           | die             | 4.22024059296   <-> 4.52538442612   || 0
die             | alleen          | 6.81405544281   <-> 6.86658763885   || 0
alleen          | voorkomt        | 9.529047966     <-> 10.2533760071   || 0
voorkomt        | bij             | 4.66248083115   <-> 4.6023774147    || 1
bij             | mensen          | 6.58168315887   <-> 6.41603040695   || 1
mensen          | die             | 2.43216753006   <-> 2.04828929901   || 1
die             | net             | 6.631690979     <-> 6.66171455383   || 0
net             | het             | 5.05703449249   <-> 4.44029521942   || 1
het             | golf            | 12.2716579437   <-> 12.3856592178   || 0
golf            | hebben          | 3.69723510742   <-> 4.11627721786   || 0
hebben          | opgegeven       | 8.38005447388   <-> 8.53395843506   || 0
opgegeven       | </s>            | 0.639497578144  <-> 0.630439817905  || 1
<s>             | in              | 3.22366380692   <-> 3.52829003334   || 0
in              | dat             | 5.58653402328   <-> 5.77539968491   || 0
dat             | stadium         | 8.52783203125   <-> 7.50773334503   || 1
stadium         | was             | 3.35581064224   <-> 3.48446536064   || 0
was             | <UNK>           | 4.02497529984   <-> 4.10377025604   || 0
<UNK>           | dus             | 6.45811605453   <-> 6.62607288361   || 0
dus             | niet            | 2.87797808647   <-> 2.5197558403    || 1
niet            | </s>            | 3.12706947327   <-> 2.83652544022   || 1
<s>             | een             | 3.51488256454   <-> 3.69191384315   || 0
een             | lucide          | 10.9170570374   <-> 11.1833143234   || 0
lucide          | Britse          | 8.34917163849   <-> 8.51125335693   || 0
Britse          | verslaggever    | 10.0952148438   <-> 9.1093044281    || 1
verslaggever    | beweerde        | 8.6962223053    <-> 8.56183433533   || 1
beweerde        | dat             | 1.52337825298   <-> 1.06959104538   || 1
dat             | de              | 1.70382499695   <-> 1.59082460403   || 1
de              | Spanjaard       | 9.34065818787   <-> 9.36658477783   || 0
Spanjaard       | het             | 3.50660562515   <-> 3.52387881279   || 0
het             | slachtoffer     | 4.98348617554   <-> 4.88337182999   || 1
slachtoffer     | was             | 2.7860159874    <-> 3.10448074341   || 0
was             | geworden        | 4.87119722366   <-> 4.88283109665   || 0
geworden        | van             | 3.43431472778   <-> 3.20988130569   || 1
van             | zijn            | 3.49347686768   <-> 3.41071033478   || 1
zijn            | eigen           | 4.0007019043    <-> 4.03584051132   || 0
eigen           | rijkdom         | 8.70930290222   <-> 9.41968727112   || 0
rijkdom         | </s>            | 0.754214882851  <-> 0.728840827942  || 1
<s>             | want            | 6.09739685059   <-> 6.21118450165   || 0
want            | had             | 8.73078536987   <-> 8.04589557648   || 1
had             | hij             | 2.17761421204   <-> 2.33769178391   || 0
hij             | zoals           | 8.25796031952   <-> 7.95423603058   || 1
zoals           | ik              | 3.92348575592   <-> 3.89825391769   || 1
ik              | in              | 3.43242883682   <-> 3.6702439785    || 0
in              | een             | 2.45060348511   <-> 2.56446146965   || 0
een             | van             | 5.00353145599   <-> 5.38276100159   || 0
van             | de              | 1.07471847534   <-> 0.930380046368  || 1
de              | goedkope        | 10.4840183258   <-> 10.4231452942   || 1
goedkope        | <UNK>           | 1.85775244236   <-> 1.70738685131   || 1
<UNK>           | rond            | 7.04797410965   <-> 7.29592037201   || 0
rond            | </s>            | 4.34926843643   <-> 4.89621210098   || 0
<s>             | <UNK>           | 3.41990828514   <-> 3.21614193916   || 1
<UNK>           | moeten          | 7.21733951569   <-> 6.93873167038   || 1
moeten          | logeren         | 10.0864105225   <-> 10.887430191    || 0
logeren         | dan             | 4.84766387939   <-> 5.18750858307   || 0
dan             | had             | 6.04063987732   <-> 6.79271793365   || 0
had             | de              | 2.20065498352   <-> 1.79996919632   || 1
de              | muur            | 8.15400886536   <-> 8.57592487335   || 0
muur            | omver           | 11.6319274902   <-> 11.4479475021   || 1
omver           | gelegen         | 8.33723449707   <-> 7.50034618378   || 1
gelegen         | en              | 2.41669940948   <-> 2.20854353905   || 1
en              | had             | 5.83204841614   <-> 6.32099914551   || 0
had             | zijn            | 4.9048614502    <-> 4.97932958603   || 0
zijn            | hand            | 6.83134078979   <-> 6.63217544556   || 1
hand            | hooguit         | 10.680721283    <-> 11.3412809372   || 0
hooguit         | een             | 2.1638045311    <-> 2.18889069557   || 0
een             | <UNK>           | 1.95405828953   <-> 2.37757825851   || 0
<UNK>           | vertoond        | 8.80010890961   <-> 8.46604347229   || 1
vertoond        | </s>            | 0.770721793175  <-> 0.58332079649   || 1
<s>             | Spaanse         | 10.2947864532   <-> 10.2405328751   || 1
Spaanse         | reporters       | 9.80650138855   <-> 9.71238899231   || 1
reporters       | schreven        | 7.7380065918    <-> 7.33766651154   || 1
schreven        | opgelucht       | 10.5346164703   <-> 9.34130477905   || 1
opgelucht       | dat             | 2.89061927795   <-> 2.04093837738   || 1
dat             | <UNK>           | 3.80672645569   <-> 3.67173862457   || 1
<UNK>           | nu              | 5.58565998077   <-> 5.97415924072   || 0
nu              | eindelijk       | 7.07552289963   <-> 6.96409797668   || 1
eindelijk       | eens            | 4.43396615982   <-> 4.86784553528   || 0
eens            | over            | 5.62062263489   <-> 5.41662597656   || 1
over            | een             | 2.58186292648   <-> 2.33018231392   || 1
een             | ander           | 5.53767681122   <-> 5.34011554718   || 1
ander           | <UNK>           | 2.38636636734   <-> 2.41680717468   || 0
<UNK>           | kon             | 5.49215984344   <-> 5.47859048843   || 1
kon             | klagen          | 9.37809562683   <-> 9.1413974762    || 1
klagen          | dan             | 4.46961975098   <-> 5.36423921585   || 0
dan             | over            | 5.96913051605   <-> 5.94892168045   || 1
over            | zijn            | 3.5291249752    <-> 3.3255238533    || 1
zijn            | voet            | 8.30283355713   <-> 8.8648557663    || 0
voet            | waarmee         | 7.76843547821   <-> 7.7275557518    || 1
waarmee         | hij             | 2.03775644302   <-> 2.05423545837   || 0
hij             | jaren           | 9.04892158508   <-> 8.68090629578   || 1
jaren           | op              | 3.92801880836   <-> 3.80601716042   || 1
op              | de              | 1.5428763628    <-> 1.37508559227   || 1
de              | sukkel          | 8.77341651917   <-> 6.9633846283    || 1
sukkel          | was             | 3.03257966042   <-> 2.92892694473   || 1
was             | </s>            | 0.761859178543  <-> 0.47664809227   || 1
<s>             | <UNK>           | 3.08876037598   <-> 3.21614193916   || 0
<UNK>           | heeft           | 3.58345389366   <-> 4.04531621933   || 0
heeft           | trouwens        | 7.13601970673   <-> 6.54814624786   || 1
trouwens        | minder          | 6.54514884949   <-> 6.33460998535   || 1
minder          | redenen         | 7.52268981934   <-> 8.58626174927   || 0
redenen         | tot             | 4.97203111649   <-> 4.09577894211   || 1
tot             | klagen          | 12.2001342773   <-> 9.77842330933   || 1
klagen          | dan             | 4.46448278427   <-> 5.02324962616   || 0
dan             | de              | 2.22120165825   <-> 2.15667748451   || 1
de              | meesten         | 7.31183052063   <-> 8.04074668884   || 0
meesten         | van             | 2.09532475471   <-> 2.42190742493   || 0
van             | ons             | 5.48244380951   <-> 5.02639818192   || 1
ons             | want            | 7.94841003418   <-> 7.81253004074   || 1
want            | hij             | 3.64185118675   <-> 4.4022436142    || 0
hij             | won             | 7.20693206787   <-> 7.57314395905   || 0
won             | in              | 2.76708936691   <-> 2.74915146828   || 1
in              | de              | 1.18759131432   <-> 1.28317129612   || 0
de              | lente           | 6.64400577545   <-> 6.34094810486   || 1
lente           | van             | 1.18354058266   <-> 0.926793992519  || 1
van             | dit             | 4.91504859924   <-> 4.60980510712   || 1
dit             | jaar            | 0.698171854019  <-> 0.658669650555  || 1
jaar            | de              | 2.97132539749   <-> 3.5534529686    || 0
de              | Masters         | 9.08424377441   <-> 8.61370658875   || 1
Masters         | op              | 3.40079784393   <-> 3.37633490562   || 1
op              | <UNK>           | 3.11142444611   <-> 3.33074045181   || 0
<UNK>           | </s>            | 1.07798218727   <-> 0.717740356922  || 1
<s>             | wat             | 5.61051511765   <-> 5.29974555969   || 1
wat             | John            | 9.71602058411   <-> 10.4358844757   || 0
John            | </s>            | 6.00921440125   <-> 5.06992340088   || 1
<s>             | <UNK>           | 2.87951517105   <-> 3.21614193916   || 0
<UNK>           | op              | 4.79962825775   <-> 5.06303834915   || 0
op              | dat             | 5.66089057922   <-> 5.39994621277   || 1
dat             | moment          | 1.52005469799   <-> 1.98241090775   || 0
moment          | onbewust        | 11.6663560867   <-> 11.6306381226   || 1
onbewust        | van             | 3.78703427315   <-> 4.35915899277   || 0
van             | het             | 2.136510849     <-> 2.34109830856   || 0
het             | bestaan         | 7.92322349548   <-> 6.79317903519   || 1
bestaan         | van             | 1.06333625317   <-> 1.15055370331   || 0
van             | het             | 2.17643928528   <-> 2.1660592556    || 1
het             | woord           | 5.69165229797   <-> 5.37010240555   || 1
woord           | <UNK>           | 2.08998703957   <-> 2.56191945076   || 0
<UNK>           | deed            | 8.02898788452   <-> 7.62195396423   || 1
deed            | opmerken        | 12.1406898499   <-> 12.7556409836   || 0
opmerken        | </s>            | 1.26065278053   <-> 1.66841411591   || 0
<s>             | mocht           | 8.939453125     <-> 9.34122753143   || 0
mocht           | ik              | 2.36790657043   <-> 2.32781338692   || 1
ik              | de              | 2.86563205719   <-> 2.97881674767   || 0
de              | Masters         | 10.338133812    <-> 9.67443847656   || 1
Masters         | gewonnen        | 7.810338974     <-> 7.70704889297   || 1
gewonnen        | hebben          | 2.34406375885   <-> 2.36231565475   || 0
hebben          | ik              | 7.42398309708   <-> 6.5395283699    || 1
ik              | sloeg           | 8.85008049011   <-> 7.90978956223   || 1
sloeg           | de              | 2.8098347187    <-> 2.68843388557   || 1
de              | rest            | 6.10121917725   <-> 5.91953754425   || 1
rest            | van             | 0.685021877289  <-> 0.688391923904  || 0
van             | het             | 2.10338592529   <-> 2.01337242126   || 1
het             | jaar            | 5.32189559937   <-> 3.63036251068   || 1
jaar            | op              | 3.1303935051    <-> 3.12361240387   || 1
op              | geen            | 6.93381690979   <-> 7.62756443024   || 0
geen            | enkele          | 4.57397651672   <-> 4.05548048019   || 1
enkele          | muur            | 8.44169616699   <-> 8.00852203369   || 1
muur            | </s>            | 0.840926647186  <-> 0.863869071007  || 0
<s>             | het             | 2.89617967606   <-> 2.78782010078   || 1
het             | slaan           | 10.9405212402   <-> 10.9167871475   || 1
slaan           | op              | 3.60931396484   <-> 3.27228665352   || 1
op              | muren           | 10.4070615768   <-> 10.5179309845   || 0
muren           | zou             | 8.41628265381   <-> 9.22316741943   || 0
zou             | moeten          | 7.09519958496   <-> 5.80934524536   || 1
moeten          | worden          | 2.86126279831   <-> 2.20146894455   || 1
worden          | voorbehouden    | 10.2298231125   <-> 8.53493690491   || 1
voorbehouden    | aan             | 3.47214579582   <-> 2.90445494652   || 1
aan             | mensen          | 6.5851931572    <-> 6.10518693924   || 1
mensen          | die             | 2.07147121429   <-> 2.04177427292   || 1
die             | de              | 2.58151054382   <-> 2.46835947037   || 1
de              | Masters         | 10.5805568695   <-> 11.4961986542   || 0
Masters         | nog             | 4.98118305206   <-> 4.95983695984   || 1
nog             | niet            | 2.47711181641   <-> 2.14807653427   || 1
niet            | gewonnen        | 7.80511760712   <-> 7.91399049759   || 0
gewonnen        | hebben          | 1.7774746418    <-> 1.75466787815   || 1
hebben          | </s>            | 0.544961333275  <-> 0.487029969692  || 1
<s>             | <UNK>           | 3.21768260002   <-> 3.21614193916   || 1
<UNK>           | wist            | 7.56192016602   <-> 7.94333314896   || 0
wist            | waarover        | 9.50027275085   <-> 9.36165237427   || 1
waarover        | hij             | 2.20265293121   <-> 2.4135799408    || 0
hij             | sprak           | 10.0424051285   <-> 8.78200054169   || 1
sprak           | want            | 7.29263734818   <-> 6.34135627747   || 1
want            | hij             | 3.2400970459    <-> 3.46942424774   || 0
hij             | vernielde       | 12.5858306885   <-> 11.8790454865   || 1
vernielde       | in              | 3.49094557762   <-> 3.37541675568   || 1
in              | buien           | 14.1537618637   <-> 14.0551300049   || 1
buien           | van             | 2.65114355087   <-> 3.76298618317   || 0
van             | dronken         | 11.1449956894   <-> 10.1810846329   || 1
dronken         | woede           | 9.19978809357   <-> 9.45029830933   || 0
woede           | al              | 6.1024312973    <-> 6.02121734619   || 1
al              | twee            | 5.14881563187   <-> 4.69977092743   || 1
twee            | keer            | 3.17879581451   <-> 3.03187036514   || 1
keer            | zijn            | 5.51088476181   <-> 4.47008895874   || 1
zijn            | eigen           | 4.81037998199   <-> 4.67144489288   || 1
eigen           | huis            | 6.17262077332   <-> 5.0962677002    || 1
huis            | een             | 4.44937229156   <-> 4.46219301224   || 0
een             | keer            | 5.88853406906   <-> 6.68033647537   || 0
keer            | dat             | 4.37095928192   <-> 4.11697006226   || 1
dat             | van             | 5.43534088135   <-> 5.40804576874   || 1
van             | een             | 2.53918910027   <-> 2.42798256874   || 1
een             | buur            | 10.073264122    <-> 10.1880407333   || 0
buur            | en              | 3.34818840027   <-> 3.00766324997   || 1
en              | tussendoor      | 9.43395614624   <-> 10.1423196793   || 0
tussendoor      | ook             | 4.66024875641   <-> 4.26097869873   || 1
ook             | een             | 2.49674654007   <-> 2.26260089874   || 1
een             | auto            | 7.01114273071   <-> 6.33862876892   || 1
auto            | of              | 5.10744571686   <-> 5.03564214706   || 1
of              | vijf            | 6.22203922272   <-> 6.12323379517   || 1
vijf            | </s>            | 4.42742443085   <-> 4.01420211792   || 1
<s>             | de              | 2.21585941315   <-> 1.98693776131   || 1
de              | Masters         | 9.5794506073    <-> 10.2790222168   || 0
Masters         | van             | 2.90870761871   <-> 2.77023267746   || 1
van             | dit             | 5.5698261261    <-> 6.42517948151   || 0
dit             | jaar            | 1.09416592121   <-> 1.69415056705   || 0
jaar            | betekenden      | 11.9640464783   <-> 11.2221384048   || 1
betekenden      | voor            | 4.73457956314   <-> 4.52722501755   || 1
voor            | <UNK>           | 3.06254959106   <-> 3.56307625771   || 0
<UNK>           | de              | 2.8819873333    <-> 2.63508653641   || 1
de              | definitieve     | 8.96505069733   <-> 7.71328353882   || 1
definitieve     | terugkeer       | 8.3738527298    <-> 7.38641166687   || 1
terugkeer       | aan             | 3.45638513565   <-> 4.53780078888   || 0
aan             | de              | 1.15630125999   <-> 0.919800102711  || 1
de              | top             | 5.65077781677   <-> 6.10841941833   || 0
top             | </s>            | 2.11021351814   <-> 1.48977673054   || 1
<s>             | de              | 1.9533905983    <-> 1.98693776131   || 0
de              | Spanjaard       | 6.84248924255   <-> 8.05779933929   || 0
Spanjaard       | ook             | 7.26819133759   <-> 7.82873821259   || 0
ook             | al              | 4.83883953094   <-> 4.62929153442   || 1
al              | winnaar         | 8.99768733978   <-> 8.77182388306   || 1
winnaar         | van             | 1.91338086128   <-> 1.13516569138   || 1
van             | het             | 2.37690067291   <-> 2.09277248383   || 1
het             | befaamde        | 8.27149772644   <-> 8.40835762024   || 0
befaamde        | groene          | 9.61242580414   <-> 8.82251548767   || 1
groene          | jasje           | 9.43173217773   <-> 7.79051923752   || 1
jasje           | in              | 3.10358071327   <-> 3.23760938644   || 0
in              | negentien       | 3.62931489944   <-> 3.73317289352   || 0
negentien       | honderd         | 0.0064818141982 <-> 0.0115614170209 || 0
honderd         | vier-en         | 2.73439955711   <-> 2.25329065323   || 1
vier-en         | negentig        | 0.837672531605  <-> 0.649113178253  || 1
negentig        | komma           | 3.51524019241   <-> 3.66024589539   || 0
komma           | heeft           | 5.62657928467   <-> 4.46497869492   || 1
heeft           | jaren           | 9.09579563141   <-> 9.28500175476   || 0
jaren           | van             | 4.49076414108   <-> 4.72724723816   || 0
van             | <UNK>           | 2.65946674347   <-> 3.10830140114   || 0
<UNK>           | achter          | 7.30720901489   <-> 7.71719789505   || 0
achter          | de              | 1.15856039524   <-> 0.995020627975  || 1
de              | rug             | 4.0231180191    <-> 3.03877544403   || 1
rug             | </s>            | 1.79736876488   <-> 1.47054111958   || 1
<s>             | oorzaak         | 10.9862480164   <-> 10.6985845566   || 1
oorzaak         | van             | 1.23921585083   <-> 0.839460492134  || 1
van             | dat             | 5.88789463043   <-> 5.45169973373   || 1
dat             | alles           | 6.07289457321   <-> 5.67084169388   || 1
alles           | </s>            | 3.31787180901   <-> 2.55909228325   || 1
<s>             | zijn            | 4.86222267151   <-> 5.24443244934   || 0
zijn            | tenen           | 9.11949157715   <-> 10.1966180801   || 0
tenen           | </s>            | 3.08282756805   <-> 3.55415678024   || 0
<s>             | men             | 7.49837970734   <-> 6.68534660339   || 1
men             | kan             | 3.64465641975   <-> 3.30676960945   || 1
kan             | het             | 3.37154746056   <-> 3.00256562233   || 1
het             | vanuit          | 8.68105888367   <-> 8.39866638184   || 1
vanuit          | twee            | 5.1534781456    <-> 5.52398586273   || 0
twee            | <UNK>           | 3.66102862358   <-> 3.95163536072   || 0
<UNK>           | bekijken        | 7.01997327805   <-> 6.78675365448   || 1
bekijken        | </s>            | 0.552473366261  <-> 0.563308477402  || 0
<s>             | een             | 3.50027704239   <-> 3.69191384315   || 0
een             | van             | 4.11967134476   <-> 3.7976770401    || 1
van             | de              | 0.940377354622  <-> 0.67392539978   || 1
de              | tenen           | 10.7287874222   <-> 11.2815713882   || 0
tenen           | van             | 2.00223374367   <-> 1.89263141155   || 1
van             | zijn            | 3.77207994461   <-> 3.55793190002   || 1
zijn            | rechtervoet     | 11.2749834061   <-> 10.1976299286   || 1
rechtervoet     | was             | 3.66857767105   <-> 3.55743980408   || 1
was             | te              | 5.67240715027   <-> 5.25987195969   || 1
te              | lang            | 4.99927330017   <-> 4.7498292923    || 1
lang            | of              | 5.59437513351   <-> 5.08524990082   || 1
of              | vier            | 7.47712755203   <-> 7.3214840889    || 1
vier            | van             | 4.3149356842    <-> 3.99439263344   || 1
van             | de              | 1.27140808105   <-> 1.13196504116   || 1
de              | tenen           | 10.322353363    <-> 9.86389255524   || 1
tenen           | van             | 2.13400411606   <-> 2.10350418091   || 1
van             | zijn            | 3.8205575943    <-> 3.74987721443   || 1
zijn            | rechtervoet     | 11.2796344757   <-> 9.97362327576   || 1
rechtervoet     | waren           | 9.05664253235   <-> 7.53253221512   || 1
waren           | te              | 4.88770866394   <-> 5.04723978043   || 0
te              | kort            | 6.2590970993    <-> 6.78682327271   || 0
kort            | </s>            | 1.10241448879   <-> 0.862998068333  || 1
<s>             | dit             | 5.53546714783   <-> 5.26016330719   || 1
dit             | lijkt           | 4.63207244873   <-> 5.28605556488   || 0
lijkt           | hetzelfde       | 7.87753915787   <-> 7.75391626358   || 1
hetzelfde       | maar            | 3.6200928688    <-> 3.69648861885   || 0
maar            | is              | 4.78546905518   <-> 4.03711891174   || 1
is              | het             | 2.25560092926   <-> 2.59617853165   || 0
het             | niet            | 2.51742172241   <-> 2.65489387512   || 0
niet            | </s>            | 2.34264969826   <-> 2.71528506279   || 0
<s>             | in              | 3.40923929214   <-> 3.52829003334   || 0
in              | de              | 1.16503989697   <-> 1.26379239559   || 0
de              | eerste          | 3.17881178856   <-> 2.78903460503   || 1
eerste          | optiek          | 11.1943473816   <-> 10.5111093521   || 1
optiek          | opereert        | 11.5267019272   <-> 11.4402580261   || 1
opereert        | men             | 5.56022930145   <-> 4.93925380707   || 1
men             | één           | 6.65780067444   <-> 6.80415725708   || 0
één           | teen            | 10.4026517868   <-> 12.046787262    || 0
teen            | door            | 5.07860326767   <-> 4.78057765961   || 1
door            | er              | 7.14582252502   <-> 6.43209981918   || 1
er              | een             | 2.9222240448    <-> 2.91119766235   || 1
een             | stuk            | 5.26984500885   <-> 5.46562957764   || 0
stuk            | af              | 5.36290454865   <-> 5.32472896576   || 1
af              | te              | 1.67568981647   <-> 2.4740653038    || 0
te              | zagen           | 9.119181633     <-> 10.1707077026   || 0
zagen           | </s>            | 0.650932133198  <-> 0.642754495144  || 1
<s>             | in              | 3.03750514984   <-> 3.52829003334   || 0
in              | de              | 1.14108252525   <-> 1.2637925148    || 0
de              | tweede          | 4.26096630096   <-> 3.92036128044   || 1
tweede          | optiek          | 11.6724462509   <-> 10.5790843964   || 1
optiek          | opereert        | 11.3934106827   <-> 11.431101799    || 0
opereert        | men             | 5.81659555435   <-> 4.99161720276   || 1
men             | vier            | 6.95865058899   <-> 7.22069787979   || 0
vier            | tenen           | 12.0229635239   <-> 12.5689163208   || 0
tenen           | door            | 5.187541008     <-> 4.90443563461   || 1
door            | er              | 7.41223430634   <-> 6.05698013306   || 1
er              | een             | 3.07904195786   <-> 2.9126303196    || 1
een             | stuk            | 5.28120613098   <-> 5.5559387207    || 0
stuk            | bij             | 5.10493755341   <-> 5.11327362061   || 0
bij             | te              | 3.71422767639   <-> 4.14782524109   || 0
te              | kleven          | 8.82188415527   <-> 8.23296451569   || 1
kleven          | </s>            | 0.454741954803  <-> 0.554962337017  || 0
<s>             | als             | 3.98150634766   <-> 4.43155956268   || 0
als             | het             | 2.70615673065   <-> 2.67208456993   || 1
het             | kan             | 6.41368293762   <-> 6.46386623383   || 0
kan             | voor            | 4.57471942902   <-> 5.25681209564   || 0
voor            | het             | 2.15823698044   <-> 2.14777994156   || 1
het             | ding            | 8.94631958008   <-> 9.87634086609   || 0
ding            | dan             | 5.43412685394   <-> 5.12568092346   || 1
dan             | ook             | 3.87766432762   <-> 3.14799380302   || 1
ook             | voor            | 4.75838756561   <-> 4.52998447418   || 1
voor            | tenen           | 12.3216514587   <-> 12.4425754547   || 0
tenen           | </s>            | 3.27903366089   <-> 2.41437268257   || 1
<s>             | <UNK>           | 3.1929666996    <-> 3.21614193916   || 0
<UNK>           | koos            | 7.90973186493   <-> 8.02707862854   || 0
koos            | voor            | 3.4993159771    <-> 2.15155386925   || 1
voor            | de              | 1.42037582397   <-> 1.35824775696   || 1
de              | eerste          | 4.25582313538   <-> 3.9359190464    || 1
eerste          | methode         | 8.60768318176   <-> 8.46068954468   || 1
methode         | en              | 3.47983551025   <-> 3.25072526932   || 1
en              | dacht           | 8.16986274719   <-> 8.28036022186   || 0
dacht           | dit             | 5.56470966339   <-> 5.23723602295   || 1
dit             | in              | 3.65505003929   <-> 3.61053156853   || 1
in              | het             | 2.03658986092   <-> 1.84478974342   || 1
het             | tussenseizoen   | 9.01055335999   <-> 7.93624019623   || 1
tussenseizoen   | gauw            | 10.6746387482   <-> 11.3660135269   || 0
gauw            | even            | 5.67351341248   <-> 6.21730041504   || 0
even            | te              | 3.6081867218    <-> 3.97314715385   || 0
te              | laten           | 4.67908477783   <-> 4.42325019836   || 1
laten           | <UNK>           | 4.26268625259   <-> 3.14402532578   || 1
<UNK>           | </s>            | 0.712673485279  <-> 0.620816528797  || 1
<s>             | weekje          | 15.2415599823   <-> 14.2566385269   || 1
weekje          | of              | 5.96307420731   <-> 5.68227910995   || 1
of              | drie            | 6.4215927124    <-> 5.02094459534   || 1
drie            | inactiviteit    | 11.9630355835   <-> 12.5702047348   || 0
inactiviteit    | had             | 5.67290353775   <-> 5.58375358582   || 1
had             | de              | 2.14886856079   <-> 1.80692744255   || 1
de              | chirurg         | 9.77689266205   <-> 9.49255752563   || 1
chirurg         | hem             | 5.53137207031   <-> 5.72382354736   || 0
hem             | verteld         | 6.60745477676   <-> 6.79905796051   || 0
verteld         | </s>            | 0.893388807774  <-> 1.18843877316   || 0
<s>             | het             | 2.85978198051   <-> 2.78782010078   || 1
het             | optimisme       | 9.66396617889   <-> 9.0604095459    || 1
optimisme       | van             | 1.64461064339   <-> 1.25777316093   || 1
van             | de              | 1.09189653397   <-> 1.20400583744   || 0
de              | chirurg         | 9.99074363708   <-> 10.3461170197   || 0
chirurg         | wordt           | 4.43412303925   <-> 3.90882110596   || 1
wordt           | veeleer         | 8.63830375671   <-> 8.37569046021   || 1
veeleer         | bepaald         | 6.72909593582   <-> 6.5254573822    || 1
bepaald         | door            | 3.05246257782   <-> 2.03312158585   || 1
door            | de              | 1.19689846039   <-> 1.04862701893   || 1
de              | stand           | 8.2211265564    <-> 8.32911777496   || 0
stand           | van             | 1.04443573952   <-> 0.72591906786   || 1
van             | zijn            | 3.64379262924   <-> 3.79266405106   || 0
zijn            | bankrekening    | 8.82584190369   <-> 8.89075374603   || 0
bankrekening    | dan             | 5.72494316101   <-> 6.58950090408   || 0
dan             | door            | 5.50315237045   <-> 5.28418397903   || 1
door            | wetenschappelijk | 10.2699899673   <-> 9.69329833984   || 1
wetenschappelijk | verantwoorde    | 8.2510061264    <-> 5.2751493454    || 1
verantwoorde    | verwachtingen   | 8.39348983765   <-> 6.59782123566   || 1
verwachtingen   | </s>            | 0.666661798954  <-> 0.712604165077  || 0
<s>             | twee            | 6.33663082123   <-> 6.01736164093   || 1
twee            | jaar            | 2.46537542343   <-> 2.50266027451   || 0
jaar            | lang            | 4.38011455536   <-> 3.90745162964   || 1
lang            | kon             | 5.45491123199   <-> 5.48368358612   || 0
kon             | <UNK>           | 4.39452934265   <-> 4.09220314026   || 1
<UNK>           | nauwelijks      | 7.945977211     <-> 7.80301094055   || 1
nauwelijks      | stappen         | 7.94340705872   <-> 8.47903823853   || 0
stappen         | </s>            | 1.82533192635   <-> 1.63024866581   || 1
<s>             | en              | 4.00813388824   <-> 4.06708335876   || 0
